VBO id	transboundary name as in VBO	OMIA breed_id	xref	source for xref	OMIA breed_name	syn source	syn source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Transboundary name	Synonyms for transboundary name, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0000139	Belgian Blue (Cattle)	155	OMIA:155		Belgian White and Blue Pied	https://omia.org		9913	Cattle	Belgian Blue		
VBO:0000141	Belmont Red (Cattle)	103	OMIA:103		Belmont Red	https://omia.org		9913	Cattle	Belmont Red		
VBO:0000142	Belted Galloway (Cattle)	853	OMIA:853		Belted Galloway	https://omia.org		9913	Cattle	Belted Galloway		
VBO:0001327	Beni Guil (Sheep)	82	OMIA:82		Beni Guil	https://omia.org		9940	Sheep	Beni Guil		
VBO:0001328	Bentheim (Sheep)	632	OMIA:632		Bentheim	https://omia.org		9940	Sheep	Bentheim		
VBO:0001114	Berkshire (Pig)	398	OMIA:398		Berkshire	https://omia.org		9823	Pig	Berkshire		
VBO:0000733	Bezoar (Goat)	1152	OMIA:1152		Bezoar	https://omia.org		9925	Goat	Bezoar		
VBO:0000237	Holstein (black and white) (Cattle)	505	OMIA:505		Black and White	https://omia.org		9913	Cattle	Holstein (black and white)		
VBO:0000731	Bengal (Goat)	504	OMIA:504		Black Bengal	https://omia.org		9925	Goat	Bengal		
VBO:0001109	Basque Black Pied (Pig)	654	OMIA:654		Black Pied Basque	https://omia.org		9823	Pig	Basque Black Pied		
VBO:0000424	Welsh Black (Cattle)	314	OMIA:314		Black Welsh	https://omia.org		9913	Cattle	Welsh Black		
VBO:0001339	Blackhead Persian (Sheep)	277	OMIA:277		Blackhead Persian	https://omia.org		9940	Sheep	Blackhead Persian		
VBO:0000151	Blonde Dâ€™aquitaine [Blonde d'Aquitaine] (Cattle)	97	OMIA:97		Blonde d'Aquitaine	https://omia.org		9913	Cattle	Blonde Dâ€™aquitaine [Blonde d'Aquitaine]		
VBO:0000139	Belgian Blue (Cattle)	335	OMIA:335		Blue and White Belgian	https://omia.org		9913	Cattle	Belgian Blue		
VBO:0000442	Andalusian (Chicken)	62	OMIA:62		Blue Andalusian	https://omia.org		9031	Chicken	Andalusian		
VBO:0001344	Bluefaced Leicester (Sheep)	432	OMIA:432		Blue Faced Leicester	https://omia.org		9940	Sheep	Bluefaced Leicester	Blue Faced Leicester	
VBO:0001341	Bleu Du Maine (Sheep)	295	OMIA:295		Blue Faced Maine	https://omia.org		9940	Sheep	Bleu Du Maine		
VBO:0000736	Boer (Goat)	561	OMIA:561		Boer	https://omia.org		9925	Goat	Boer		
VBO:0000155	Bonsmara (Cattle)	119	OMIA:119		Bonsmara	https://omia.org		9913	Cattle	Bonsmara		
VBO:0001345	Booroola (Sheep)	1038	OMIA:1038		Booroola	https://omia.org		9940	Sheep	Booroola		
VBO:0000156	Boran (Cattle)	99	OMIA:99		Boran	https://omia.org		9913	Cattle	Boran		
VBO:0001347	Border Leicester (Sheep)	359	OMIA:359		Border Leicester	https://omia.org		9940	Sheep	Border Leicester		
VBO:0000158	Braford (Cattle)	169	OMIA:169		Braford	https://omia.org		9913	Cattle	Braford		
VBO:0000159	Brahman (Cattle)	24	OMIA:24		Brahman	https://omia.org		9913	Cattle	Brahman		
VBO:0000161	Brangus (Cattle)	449	OMIA:449		Brangus	https://omia.org		9913	Cattle	Brangus		
VBO:0000166	Brown Swiss (Cattle)	59	OMIA:59		Braunvieh	https://omia.org		9913	Cattle	Brown Swiss		
VBO:0001700	Broad Breasted Bronze (Turkey)	440	OMIA:440		Broad Breasted Bronze	https://omia.org		9103	Turkey	Broad Breasted Bronze		
VBO:0001701	Broad Breasted White (Turkey)	297	OMIA:297		Broad Breasted White	https://omia.org		9103	Turkey	Broad Breasted White		
VBO:0000505	Commercial strain- layer- Leghorn (Chicken)	341	OMIA:341		Brown Leghorn	https://omia.org		9031	Chicken	Commercial strain- layer- Leghorn		
VBO:0000364	Russian Brown (Cattle)	434	OMIA:434		Brown Russian	https://omia.org		9913	Cattle	Russian Brown		
VBO:0000166	Brown Swiss (Cattle)	106	OMIA:106		Brown Swiss	https://omia.org		9913	Cattle	Brown Swiss		
VBO:0000427	White Fulani (Cattle)	707	OMIA:707		Bunaji	https://omia.org		9913	Cattle	White Fulani		
VBO:0000167	BuÅ¡a [Buša] (Cattle)	717	OMIA:717		Busa	https://omia.org		9913	Cattle	BuÅ¡a [Buša]		
