UBO id	Breed name	Country	breed label (breed name +country + parent)	Transboundary name =parents	Species =parents	parent labels	parent ID	Other name(s) =synonym							Language (for Breed name and Other name)	ISO3 Country code	Domestication status	Taxonomic classification	Description of origin	Geographical classification
UBO:0001751	Dongolawi	Sudan	Dongolawi-Sudan [Dongolawi (Ass)]	Dongolawi	Ass	Dongolawi (Ass)	UBO:0000048	Sudanese Riding								SDN	domestic	variety	variety of Sudanese Riding	international
UBO:0001752	Hamadan	Iran (Islamic Republic of)	Hamadan-Iran (Islamic Republic of) [Hamadan (Ass)]	Hamadan	Ass	Hamadan (Ass)	UBO:0000049									IRN	domestic	breed		international
UBO:0001753	Hamadan	Russian Federation	Hamadan-Russian Federation [Hamadan (Ass)]	Hamadan	Ass	Hamadan (Ass)	UBO:0000049								ru.	RUS	domestic	breed		international
UBO:0001754	Chigetai	Kazakhstan	Chigetai-Kazakhstan [Khulan (Ass)]	Khulan	Ass	Khulan (Ass)	UBO:0000050	Khulan|Mongolian Wild Ass|Kulan								KAZ	feral	variety	It belongs to Equus hemionus hemionus and Equus hemionus luteus, a variety of Onager.	regional
UBO:0001755	Kulan	Kazakhstan	Kulan-Kazakhstan [Khulan (Ass)]	Khulan	Ass	Khulan (Ass)	UBO:0000050	Transcaspian Onager								KAZ	feral	variety	Equus hemionus kulan, variety of Onager	regional
UBO:0001756	Kulan	Turkmenistan	Kulan-Turkmenistan [Khulan (Ass)]	Khulan	Ass	Khulan (Ass)	UBO:0000050	Transcaspian Onager								TKM	feral	variety	Equus hemionus Kulan, variety of Onager	regional
UBO:0001757	Anes	Niger	Anes-Niger [lâ€™Ane Africain (Ass)]	lâ€™Ane Africain	Ass	lâ€™Ane Africain (Ass)	UBO:0000051								FranÃ§ais	NER	domestic	species	imported; locally adapted; Its introduction as draft animal in Niger goes back to the colonial period.	regional
UBO:0001758	Native of North Africa	Senegal	Native of North Africa-Senegal [lâ€™Ane Africain (Ass)]	lâ€™Ane Africain	Ass	lâ€™Ane Africain (Ass)	UBO:0000051								eng.	SEN	domestic	breed		regional
UBO:0001759	Majorera	Spain	Majorera-Spain [Majorero (Ass)]	Majorero	Ass	Majorero (Ass)	UBO:0000052	Burro Majorero							Sp.	ESP	domestic	breed	Animals from the north western area of Africa that adapted to the Canary Islands.	local
UBO:0001760	Mammoth Jack Stock	United States of America	Mammoth Jack Stock-United States of America [Mammoth Jack Stock (Ass)]	Mammoth Jack Stock	Ass	Mammoth Jack Stock (Ass)	UBO:0000053								eng.	USA	domestic	breed	composite of Andalusian, Catalan, Majorcan, Maltese and Poitou	local
UBO:0001761	Jack Norteamericano	Venezuela (Bolivarian Republic of)	Jack Norteamericano-Venezuela (Bolivarian Republic of) [Mammoth Jack Stock (Ass)]	Mammoth Jack Stock	Ass	Mammoth Jack Stock (Ass)	UBO:0000053								sp.	VEN	domestic	breed	continually imported from the USA; exotic	local
UBO:0001762	Masai	Kenya	Masai-Kenya [Masai (Ass)]	Masai	Ass	Masai (Ass)	UBO:0000054									KEN	domestic	breed		regional
UBO:0001763	Maasai Donkey	United Republic of Tanzania	Maasai Donkey-United Republic of Tanzania [Masai (Ass)]	Masai	Ass	Masai (Ass)	UBO:0000054									TZA	domestic	breed		regional
UBO:0001764	Meskhet- Dzhavakhetskaya	Turkmenistan	Meskhet- Dzhavakhetskaya-Turkmenistan [Meskhet-Javakhet (Ass)]	Meskhet-Javakhet	Ass	Meskhet-Javakhet (Ass)	UBO:0000055	Meskhet-Javakhet							ru.	TKM	domestic	variety	variety of Georgian	regional
UBO:0001765	Meskhet-Dzhavakhetskaya	Uzbekistan	Meskhet-Dzhavakhetskaya-Uzbekistan [Meskhet-Javakhet (Ass)]	Meskhet-Javakhet	Ass	Meskhet-Javakhet (Ass)	UBO:0000055	Meskhet-Javakhet							ru.	UZB	domestic	variety	variety of Georgian	regional
UBO:0001766	Native of North Africa	Mali	Native of North Africa-Mali [Native of North Africa (Ass)]	Native of North Africa	Ass	Native of North Africa (Ass)	UBO:0000056								eng.	MLI	domestic	breed		regional
UBO:0001767	Native of North Africa	Mauritania	Native of North Africa-Mauritania [Native of North Africa (Ass)]	Native of North Africa	Ass	Native of North Africa (Ass)	UBO:0000056	Ã‚ne commun d'Afrique							eng.	MRT	domestic	breed		regional
UBO:0001768	Pega	Bolivia (Plurinational State of)	Pega-Bolivia (Plurinational State of) [Pega (Ass)]	Pega	Ass	Pega (Ass)	UBO:0000057								espaÃ±ol	BOL	domestic	breed		local
UBO:0001769	Poitou ezel	Belgium	Poitou ezel-Belgium [Poitou (Ass)]	Poitou	Ass	Poitou (Ass)	UBO:0000057								dutch	BEL	domestic	breed	imported from France	local
UBO:0001770	Baudet du Poitou	France	Baudet du Poitou-France [Poitou (Ass)]	Poitou	Ass	Poitou (Ass)	UBO:0000057	Ã‚ne du Poitou|Ane Poitevin							fr.	FRA	domestic	breed		local
UBO:0001771	Somali	Djibouti	Somali-Djibouti [Somali (Ass)]	Somali	Ass	Somali (Ass)	UBO:0000059									DJI	domestic	breed		international
UBO:0001772	Somali	Kenya	Somali-Kenya [Somali (Ass)]	Somali	Ass	Somali (Ass)	UBO:0000059									KEN	domestic	breed	similar to the Toposa of South-eastern Sudan	international
UBO:0001773	Somali	Somalia	Somali-Somalia [Somali (Ass)]	Somali	Ass	Somali (Ass)	UBO:0000059									SOM	domestic	breed	similar to the Toposa of South-eastern Sudan	international
UBO:0001774	Somali	Yemen	Somali-Yemen [Somali (Ass)]	Somali	Ass	Somali (Ass)	UBO:0000059									YEM	domestic	breed	similar to the Toposa of South-eastern Sudan	international
UBO:0001775	Somali Wild Ass	Eritrea	Somali Wild Ass-Eritrea [Somali Wild Ass (Ass)]	Somali Wild Ass	Ass	Somali Wild Ass (Ass)	UBO:0000060								eng.	ERI	feral	variety	Equus africanus somaliensis, variety of African Wild Ass	regional
UBO:0001776	Somali Wild Ass	Somalia	Somali Wild Ass-Somalia [Somali Wild Ass (Ass)]	Somali Wild Ass	Ass	Somali Wild Ass (Ass)	UBO:0000060								eng.	SOM	feral	variety	Equus africanus somaliensis, variety of African Wild Ass	regional
UBO:0001777	Syrian	Israel	Syrian-Israel [Syrian (Ass)]	Syrian	Ass	Syrian (Ass)	UBO:0000061								eng.	ISR	domestic	breed		international
UBO:0001778	Syrian	Syrian Arab Republic	Syrian-Syrian Arab Republic [Syrian (Ass)]	Syrian	Ass	Syrian (Ass)	UBO:0000061								eng.	SYR	domestic	breed		international
UBO:0001779	Tibetan	China	Tibetan-China [Tibetan (Ass)]	Tibetan	Ass	Tibetan (Ass)	UBO:0000062								chin	CHN	domestic	breed		regional
UBO:0001780	Tibetan	Nepal	Tibetan-Nepal [Tibetan (Ass)]	Tibetan	Ass	Tibetan (Ass)	UBO:0000062									NPL	domestic	breed		regional
UBO:0001781	Donkey	Afghanistan	Donkey-Afghanistan [Ass]		Ass	Ass	UBO:0000003								eng. = breed name unknown	AFG	domestic			local
UBO:0001782	Comune	Albania	Comune-Albania [Ass]		Ass	Ass	UBO:0000003	Local donkey|Common							alb.	ALB	domestic	breed	indigenous breed	local
UBO:0001783	Armyanskaya	Armenia	Armyanskaya-Armenia [Ass]		Ass	Ass	UBO:0000003	Armenian							ru.	ARM	domestic	breed		local
UBO:0001784	Australian Donkey	Australia	Australian Donkey-Australia [Ass]		Ass	Ass	UBO:0000003								eng.	AUS	domestic	breed		local
UBO:0001785	English Donkey	Australia	English Donkey-Australia [Ass]		Ass	Ass	UBO:0000003								eng.	AUS	domestic	breed		local
UBO:0001786	Irish Donkey	Australia	Irish Donkey-Australia [Ass]		Ass	Ass	UBO:0000003								eng.	AUS	domestic	breed		local
UBO:0001787	Local	Azerbaijan	Local-Azerbaijan [Ass]		Ass	Ass	UBO:0000003	Azerbaijan							eng.	AZE	domestic	breed		local
UBO:0001788	Ane Wallon	Belgium	Ane Wallon-Belgium [Ass]		Ass	Ass	UBO:0000003	Waalse ezel							fr.	BEL	domestic	breed	breed in development	local
UBO:0001789	Nordestina	Brazil	Nordestina-Brazil [Ass]		Ass	Ass	UBO:0000003	Jegue|Jerico|Jumento Nordestino|Northeastern							port.	BRA	Domestic	Breed	It is believed that the donkey arrived in Brazil around 1534, brought from the Madeira and Canary Islands. In 1549, ThomÃ© de Souza brought from Cape Verde more animals to the State of Bahia.	local
UBO:0001790	Paulista	Brazil	Paulista-Brazil [Ass]		Ass	Ass	UBO:0000003	Jumento Brasileiro|Brazilian							port.	BRA	Domestic	Breed	The donkeys of the Brazilian breed originated from animals brought from Italy, predominantly Sicily, and have a close genetic relationship with African donkeys. In Brazil they were crossed with donkeys from Portugal or its African colonies. These breeding nuclei started in SÃ£o Paulo State, and the products of these crosses are known as Paulista Donkeys.	local
UBO:0001791	Pega	Brazil	Pega-Brazil [Ass]		Ass	Ass	UBO:0000003								port.	BRA	Domestic	Breed	This breed is probably of Italian and Egyptian origin.	local
UBO:0001792	Green	Barbados	Green-Barbados [Ass]		Ass	Ass	UBO:0000003								eng.	BRB	domestic	breed		local
UBO:0001793	Tswana	Botswana	Tswana-Botswana [Ass]		Ass	Ass	UBO:0000003								Tswana	BWA	domestic	breed		local
UBO:0001794	l'Ane Africain	Central African Republic	l'Ane Africain-Central African Republic [Ass]		Ass	Ass	UBO:0000003								fr.	CAF	domestic			local
UBO:0001795	Donkey	Canada	Donkey-Canada [Ass]		Ass	Ass	UBO:0000003								EN	CAN				local
UBO:0001796	Asno	Chile	Asno-Chile [Ass]		Ass	Ass	UBO:0000003								sp. = donkey	CHL	domestic	species	Locally adopted exotic.	local
UBO:0001797	Biyang	China	Biyang-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001798	China North	China	China North-China [Ass]		Ass	Ass	UBO:0000003								eng.	CHN	domestic	breed		local
UBO:0001799	Dezhou	China	Dezhou-China [Ass]		Ass	Ass	UBO:0000003								chin.	CHN	domestic	breed		local
UBO:0001800	Guangling	China	Guangling-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001801	Guanzhong	China	Guanzhong-China [Ass]		Ass	Ass	UBO:0000003	Guanchzhun|Kwanchung|Kuan-chung							chin	CHN	domestic	breed		local
UBO:0001802	Huaibei	China	Huaibei-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001803	Jiami	China	Jiami-China [Ass]		Ass	Ass	UBO:0000003	Swallow-Coat|Four-Eyebrows							chin	CHN	domestic	breed		local
UBO:0001804	Jinnan	China	Jinnan-China [Ass]		Ass	Ass	UBO:0000003	South Shanxi							chin	CHN	domestic	breed		local
UBO:0001805	Kulun	China	Kulun-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001806	Liangzhou	China	Liangzhou-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001807	Linxian	China	Linxian-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001808	Qinghai	China	Qinghai-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001809	Qingyang	China	Qingyang-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001810	Shanbei	China	Shanbei-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001811	Sichuan donkey	China	Sichuan donkey-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001812	Subei	China	Subei-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001813	Taihang	China	Taihang-China [Ass]		Ass	Ass	UBO:0000003								chin	CHN	domestic	breed		local
UBO:0001814	Xinjiang	China	Xinjiang-China [Ass]		Ass	Ass	UBO:0000003	Kiang							chin.	CHN	domestic	breed	Equus kiang. Included Kashi donkey, Kuce donkey, Tulufan donkey.	local
UBO:0001815	Yangyuan	China	Yangyuan-China [Ass]		Ass	Ass	UBO:0000003								Chin	CHN	domestic	breed		local
UBO:0001816	Yunnan	China	Yunnan-China [Ass]		Ass	Ass	UBO:0000003	South-west donkey							chin	CHN	domestic	breed		local
UBO:0001817	Asnal Criollo	Cuba	Asnal Criollo-Cuba [Ass]		Ass	Ass	UBO:0000003								sp.	CUB	domestic	breed	locally adapted breed	local
UBO:0001818	Asno Americano	Cuba	Asno Americano-Cuba [Ass]		Ass	Ass	UBO:0000003								sp.	CUB	domestic	breed	Recently introduced.	local
UBO:0001819	Deutscher Esel	Germany	Deutscher Esel-Germany [Ass]		Ass	Ass	UBO:0000003								ger.	DEU				local
UBO:0001820	EuropÃ¤ischer Esel	Germany	EuropÃ¤ischer Esel-Germany [Ass]		Ass	Ass	UBO:0000003								ger.	DEU				local
UBO:0001821	ThÃ¼ringer Waldesel	Germany	ThÃ¼ringer Waldesel-Germany [Ass]		Ass	Ass	UBO:0000003								De	DEU				local
UBO:0001822	Algerian	Algeria	Algerian-Algeria [Ass]		Ass	Ass	UBO:0000003								eng.	DZA	domestic	breed		local
UBO:0001823	Baladi Egyptian	Egypt	Baladi Egyptian-Egypt [Ass]		Ass	Ass	UBO:0000003								ar.	EGY	domestic	variety	variety of Egyptian	local
UBO:0001824	Hassawi	Egypt	Hassawi-Egypt [Ass]		Ass	Ass	UBO:0000003									EGY	domestic	variety	variety of Egyptian	local
UBO:0001825	Saidi	Egypt	Saidi-Egypt [Ass]		Ass	Ass	UBO:0000003									EGY	domestic	variety	variety of Egyptian	local
UBO:0001826	Andaluza	Spain	Andaluza-Spain [Ass]		Ass	Ass	UBO:0000003	Andalusian Donkey|Asno Andaluz							sp.	ESP	domestic	breed	equus asnus taemoppus influenced genetically by asian onapro	local
UBO:0001827	Asno de las Encartaciones	Spain	Asno de las Encartaciones-Spain [Ass]		Ass	Ass	UBO:0000003								sp.	ESP	domestic	breed	indigenous breed	local
UBO:0001828	Catalana	Spain	Catalana-Spain [Ass]		Ass	Ass	UBO:0000003	Raza Asinia Catalana							sp.	ESP	domestic	breed	The breed belongs to the species Equus asinus somaliensis or Equus asinus europeus. This breed has contributed to the formation and improvement of several European breeds. It has had a great and decisive influence in the formation of the American Mammoth ass.	local
UBO:0001829	Zamorano-LeonÃ©s	Spain	Zamorano-LeonÃ©s-Spain [Ass]		Ass	Ass	UBO:0000003	Carbajalina|Leonesa|Zamorana|GaraÃ±Ã³n LeonÃ©s							Sp.	ESP	domestic	breed	Equus asinus europeus.	local
UBO:0001830	Abyssinian	Ethiopia	Abyssinian-Ethiopia [Ass]		Ass	Ass	UBO:0000003								English	ETH	Domestic	Breed		local
UBO:0001831	Afar	Ethiopia	Afar-Ethiopia [Ass]		Ass	Ass	UBO:0000003								English	ETH	Domestic	Breed		local
UBO:0001832	Hararghe	Ethiopia	Hararghe-Ethiopia [Ass]		Ass	Ass	UBO:0000003								English	ETH	Domestic	Breed		local
UBO:0001833	Ogaden	Ethiopia	Ogaden-Ethiopia [Ass]		Ass	Ass	UBO:0000003									ETH	Domestic	Breed		local
UBO:0001834	Omo	Ethiopia	Omo-Ethiopia [Ass]		Ass	Ass	UBO:0000003								English	ETH	Domestic	Breed		local
UBO:0001835	Sinnar	Ethiopia	Sinnar-Ethiopia [Ass]		Ass	Ass	UBO:0000003								English	ETH	Domestic	Breed		local
UBO:0001836	Ã‚ne Bourbonnais	France	Ã‚ne Bourbonnais-France [Ass]		Ass	Ass	UBO:0000003								fr.	FRA	Domestic	Breed	L'Ã¢ne Bourbonnais puise ses origines dans le nord du Massif Central, berceau des ducs de Bourbon. La province Bourbonnaise est composÃ©e de l'actuel dÃ©partement de l'Allier, d'une partie du Cher nommÃ©e le Boischaut, effleure la partie nord du Puy de DÃ´me ainsi qu'une petite bande Ã  l'extrÃªme sud de la NiÃ¨vre. Un domaine oÃ¹ il fut prÃ©curseur et dÃ©jÃ  bien prÃ©sent : le tourisme ! En effet, Vichy, grande station thermale du dÃ©but du 20Ã¨me siÃ¨cle, proposait Ã  ses curistes la visite de la ville et ses parcs en voiture menÃ©e par notre Ã¢ne.  Polyvalent, l'Ane Bourbonnais reste aujourd'hui un acteur constant de la vie quotidienne : compagnon de loisirs, de travail ou de thÃ©rapie.	local
UBO:0001837	Ã‚ne de Provence	France	Ã‚ne de Provence-France [Ass]		Ass	Ass	UBO:0000003								fr.	FRA	Domestic	Breed	Les Ã©crits les plus anciens montrant lâ€™importance des Ã¢nes dans le systÃ¨me dâ€™Ã©levage ovin datent du XVÃ¨ siÃ¨cle. Ce systÃ¨me Ã©tait basÃ© sur la transhumance entre la Basse-Provence et les alpages de Haute-Provence, des Alpes et du DauphinÃ©. Durant prÃ¨s de 5 siÃ¨cles, ils ont Ã©tÃ© les acteurs essentiels de la transhumance des moutons en portant, grÃ¢ce Ã  des bats adaptÃ©s, le matÃ©riel, la nourriture des bergers, le sel pour les brebis et mÃªme les agneaux nÃ©s en chemin. Les bergers ont ainsi sÃ©lectionnÃ© un Ã¢ne disposant dâ€™une ossature solide pour porter les lourdes charges, dâ€™un tempÃ©rament docile avec de bons membres pour parcourir les drailles. Lâ€™utilisation du chemin de fer puis des camions a rÃ©duit considÃ©rablement leur rÃ´le. De ce fait, lâ€™effectif asin agricole recensÃ© dans les dÃ©partements provenÃ§aux (Bouches-du-RhÃ´ne, Var, Vaucluse, Alpes de Haute-Provence) qui sâ€™Ã©levait Ã  environ 13000 tÃªtes Ã  la fin du XIXÃ¨ siÃ¨cle est passÃ© Ã  2000 en 1956 puis seulement Ã  330 en 1993.	local
UBO:0001838	Ã‚ne des PyrÃ©nÃ©es	France	Ã‚ne des PyrÃ©nÃ©es-France [Ass]		Ass	Ass	UBO:0000003	Gascon							fr.	FRA	Domestic	Breed	Lâ€™Ã¢ne des PyrÃ©nÃ©es a pour berceau dâ€™origine le sud et le sud-ouest de la France, ancienne province de Gascogne et la chaÃ®ne des PyrÃ©nÃ©es.  On le nomme parfois â€œGasconâ€, format plus rÃ©duit que le â€œCatalanâ€ rencontrÃ© dans les PyrÃ©nÃ©es Orientales sÃ©lectionnÃ© pour la production mulassiÃ¨re et comme amÃ©liorateur.	local
UBO:0001839	Ã‚ne du Cotentin	France	Ã‚ne du Cotentin-France [Ass]		Ass	Ass	UBO:0000003								fr.	FRA	Domestic	Breed	L'Ã¢ne du Cotentin Ã©tait principalement concentrÃ© sur le Nord Cotentin.  Aux Foires de Lessay et de Gavray dans la Manche, il se vendait, avant guerre, entre 300 Ã  400 Ã¢nes qui partaient vers les autres rÃ©gions de France, voire Ã  l'Ã©tranger. Depuis le dÃ©but du siÃ¨cle, c'est le dÃ©partement qui compte l'effectif asin le plus important de France.	local
UBO:0001840	Ã‚ne grand noir du Berry	France	Ã‚ne grand noir du Berry-France [Ass]		Ass	Ass	UBO:0000003								fr.	FRA	Domestic	Breed	A partir de 1870 de nombreux paysans berrichons, hier simples journaliers, accÃ¨dent Ã  la propriÃ©tÃ©.  En Boischaut particuliÃ¨rement, pays bocagÃ© de la province aux nombreuses petites exploitations, lâ€™Ã¢ne devient alors lâ€™animal de trait par excellence. Pour le travail des champs et des vignes, pour le halage des pÃ©niches sur le canal de Berry, le choix des animaux sâ€™est orientÃ©, au cours des dÃ©cennies, vers une sÃ©lection dâ€™Ã¢nes grands, forts, mais restant vifs, courageux et dociles.  Vers 1900, LigniÃ¨res Ã©tait devenu le centre de maquignonnage de lâ€™Ã¢ne, en Berry.  Depuis 1994 - annÃ©e de la reconnaissance officielle - on considÃ¨re les cantons du Cher et de lâ€™Indre avoisinant cette petite ville comme le berceau de la race.	local
UBO:0001841	Ã‚ne normand	France	Ã‚ne normand-France [Ass]		Ass	Ass	UBO:0000003								fr	FRA	Domestic	Breed		local
UBO:0001842	Georgian Ass	Georgia	Georgian Ass-Georgia [Ass]		Ass	Ass	UBO:0000003	Georgian							en	GEO	domestic	breed		local
UBO:0001843	Creole	Guyana	Creole-Guyana [Ass]		Ass	Ass	UBO:0000003								eng.	GUY	domestic	breed		local
UBO:0001844	Istrian donkey	Croatia	Istrian donkey-Croatia [Ass]		Ass	Ass	UBO:0000003	Istarski magarac							eng.	HRV	domestic	breed	Istrian donkey was created in the area of central, southern and west Istria. During the creation of the Istrian donkey, occasionally the genome of larger, primarily Italian breeds was introduced.	local
UBO:0001845	Littoral Dinaric donkey	Croatia	Littoral Dinaric donkey-Croatia [Ass]		Ass	Ass	UBO:0000003	Primorsko dinarski magarac							eng.	HRV	domestic	breed	Although there are no reliable indicators of philogenesis of the Littoral Dinaric donkey, it is justified to suppose that it was created on today's breeding area of Croatian coast, developing characteristics of adaptability and exquisite working capabilities, with maintenance of a smaller body frame, adopted to dry karst environment. Foreign breeds of donkeys were partly introduced in the population of Littoral Dinaric donkey, but no reliable indicators exist.	local
UBO:0001846	North Adriatic donkey	Croatia	North Adriatic donkey-Croatia [Ass]		Ass	Ass	UBO:0000003	Sjeverno jadranski magarac							eng.	HRV	domestic	breed	North Adriatic donkey has been created in the area of Northern Adriatic, primarily in the area of Kvarner. It is based on the local population of donkeys with occasional introduction of larger Istrian donkey genome and smaller Littoral Dinaric donkey. Remaining population of the North Adriatic donkey is by its characteristics special and as such worthy of protection.	local
UBO:0001847	BouriK	Haiti	BouriK-Haiti [Ass]		Ass	Ass	UBO:0000003								Creole	HTI				local
UBO:0001848	Hungarian Plain Donkey	Hungary	Hungarian Plain Donkey-Hungary [Ass]		Ass	Ass	UBO:0000003								EN	HUN	domestic	breed		local
UBO:0001849	Halari	India	Halari-India [Ass]		Ass	Ass	UBO:0000003	Desi							Hindi	IND	Domestic	Breed		local
UBO:0001850	Indian	India	Indian-India [Ass]		Ass	Ass	UBO:0000003								eng.	IND	domestic	breed		local
UBO:0001851	Indian Wild Ass	India	Indian Wild Ass-India [Ass]		Ass	Ass	UBO:0000003	Indian Onager|Khur|Thor Char|Baluchi Wild Ass							eng.	IND	feral	variety	Equus hemiolus khur, variety of Onager	local
