UBO id	Breed name	Country	breed label (breed name +country + parent)	Transboundary name =parents	Species =parents	parent labels	parent ID	Other name(s) =synonym							Language (for Breed name and Other name)	ISO3 Country code	Domestication status	Taxonomic classification	Description of origin	Geographical classification
ID			LABEL				SC %	A oboInOwl:hasExactSynonym SPLIT=|												
UBO:0001723	Alpakka	Finland	Alpakka-Finland [Alpaca (Alpaca)]	Alpaca	Alpaca	Alpaca (Alpaca)	UBO:0000038								fin.	FIN	domestic			local
UBO:0001724	Huacaya	Australia	Huacaya-Australia [Huacaya (Alpaca)]	Huacaya	Alpaca	Huacaya (Alpaca)	UBO:0000039									AUS	domestic	breed		international
UBO:0001725	Huacaya	Bolivia (Plurinational State of)	Huacaya-Bolivia (Plurinational State of) [Huacaya (Alpaca)]	Huacaya	Alpaca	Huacaya (Alpaca)	UBO:0000039								sp.	BOL	domestic	breed	indigenous breed. all presentday camelids (Bacterian camel, dromedary, llama, alpaca, guanaco and vicuna) decended from a group of animals living 16 million years ago in the Rocky mountain area of presentday USA	international
UBO:0001726	Huacaya	Canada	Huacaya-Canada [Huacaya (Alpaca)]	Huacaya	Alpaca	Huacaya (Alpaca)	UBO:0000039								ENG	CAN				international
UBO:0001727	Huacaya	Chile	Huacaya-Chile [Huacaya (Alpaca)]	Huacaya	Alpaca	Huacaya (Alpaca)	UBO:0000039								sp.	CHL	domestic	breed		international
UBO:0001728	Huacaya	Peru	Huacaya-Peru [Huacaya (Alpaca)]	Huacaya	Alpaca	Huacaya (Alpaca)	UBO:0000039	Wacaya							EspaÃ±ol	PER	domestic	breed		international
UBO:0001729	Suri	Australia	Suri-Australia [Suri (Alpaca)]	Suri	Alpaca	Suri (Alpaca)	UBO:0000040									AUS	domestic	breed		international
UBO:0001730	Sury	Bolivia (Plurinational State of)	Sury-Bolivia (Plurinational State of) [Suri (Alpaca)]	Suri	Alpaca	Suri (Alpaca)	UBO:0000040	Suri								BOL	domestic	breed	indigenous breed. <br> All presentday camelids (Bacterian camel, dromedary, llama, alpaca, guanaco and vicuna) decended from a group of animals living 16 million years ago in the Rocky mountain area of presentday USA.	international
UBO:0001731	Suri	Chile	Suri-Chile [Suri (Alpaca)]	Suri	Alpaca	Suri (Alpaca)	UBO:0000040								sp.	CHL	domestic	breed	indigenous breed	international
UBO:0001732	Suri	Peru	Suri-Peru [Suri (Alpaca)]	Suri	Alpaca	Suri (Alpaca)	UBO:0000040								sp.	PER	domestic	breed		international
UBO:0001733	Suri	Bolivia (Plurinational State of)	Suri-Bolivia (Plurinational State of) [Alpaca]		Alpaca	Alpaca	UBO:0000001								quechua	BOL				local
UBO:0001734	Chilian Alpaca	Chile	Chilian Alpaca-Chile [Alpaca]		Alpaca	Alpaca	UBO:0000001								eng.	CHL	domestic	breed		local
UBO:0001735	Llamingos-pucungos	Ecuador	Llamingos-pucungos-Ecuador [Alpaca]		Alpaca	Alpaca	UBO:0000001	Ecuadorian Alpaca							sp.	ECU	domestic	breed	Imported from Peru	local
UBO:0001736	Alpaca	United States of America	Alpaca-United States of America [Alpaca]		Alpaca	Alpaca	UBO:0000001								English	USA				local
UBO:0001737	Alpaca	South Africa	Alpaca-South Africa [Alpaca]		Alpaca	Alpaca	UBO:0000001									ZAF	domestic	breed	recently imported	local
UBO:0001738	Biisoni	Finland	Biisoni-Finland [American Bison (American Bison)]	American Bison	American Bison	American Bison (American Bison)	UBO:0000041								fin.	FIN				regional
UBO:0001739	Plains Bison	Canada	Plains Bison-Canada [American Bison]		American Bison	American Bison	UBO:0000002								EN	CAN	Domestic	Breed		local
UBO:0001740	Wood Bison	Canada	Wood Bison-Canada [American Bison]		American Bison	American Bison	UBO:0000002								EN	CAN				local
UBO:0001741	American Bison	United States of America	American Bison-United States of America [American Bison]		American Bison	American Bison	UBO:0000002								eng	USA				local
UBO:0001742	Andaluza	Bolivia (Plurinational State of)	Andaluza-Bolivia (Plurinational State of) [Andaluza (Ass)]	Andaluza	Ass	Andaluza (Ass)	UBO:0000042								EspaÃ±ol	BOL	domestic	breed		local
UBO:0001743	Ase Balear	Spain	Ase Balear-Spain [Balearic donkey breed (Ass)]	Balearic donkey breed	Ass	Balearic donkey breed (Ass)	UBO:0000043	Ase Balear|Ase MallorquÃ­|Ase MenorquÃ­|Asno Balear							sp.	ESP	domestic	breed	Mediterranean western branch	local
UBO:0001744	Burro Criollo	Bolivia (Plurinational State of)	Burro Criollo-Bolivia (Plurinational State of) [Burro Criollo (Ass)]	Burro Criollo	Ass	Burro Criollo (Ass)	UBO:0000044								espaÃ±ol	BOL				local
UBO:0001745	Burro Kentucky	Honduras	Burro Kentucky-Honduras [Burro Kentucky (Ass)]	Burro Kentucky	Ass	Burro Kentucky (Ass)	UBO:0000045									HND	domestic	breed		regional
UBO:0001746	Burro Kentucky	El Salvador	Burro Kentucky-El Salvador [Burro Kentucky (Ass)]	Burro Kentucky	Ass	Burro Kentucky (Ass)	UBO:0000045									SLV	domestic	breed		regional
UBO:0001747	Cyprus	Cyprus	Cyprus-Cyprus [Cyprus (Ass)]	Cyprus	Ass	Cyprus (Ass)	UBO:0000046	Gaidouri							eng.	CYP	domestic	breed	Locally adapted breed. Composite of African and Asian with some Catalan	regional
UBO:0001748	Damascus	Israel	Damascus-Israel [Damascus (Ass)]	Damascus	Ass	Damascus (Ass)	UBO:0000047									ISR	domestic	variety	larger variety of Syrian	international
UBO:0001749	Damascus	Syrian Arab Republic	Damascus-Syrian Arab Republic [Damascus (Ass)]	Damascus	Ass	Damascus (Ass)	UBO:0000047									SYR	domestic	variety	larger variety of Syrian	international
UBO:0001750	Kassala	Eritrea	Kassala-Eritrea [Dongolawi (Ass)]	Dongolawi	Ass	Dongolawi (Ass)	UBO:0000048									ERI	domestic	variety	variety of Sudanese Riding	international
