VBO id	term label	breed name to be used for label	species to be used for label	internal term merge indicator vboid into vboid	internal date and issue separated by pipe YYMMDD-issue	GH issue NOT merge obsolete	parent ID	source for parents	source for parents	parent ID	source for parents	source for parents	most common name	synonym type Most common name	source for most common name	source for most common name	synonym DADIS name not used in label	source for synonym DADIS	source for synonym DADIS	synonym 1	source for synonym 1	source for synonym 1	synonym 2	source for synonym 2	source for synonym 2	synonym 3	source for synonym 3	source for synonym 3	synonym 4	source for synonym 4	source for synonym 4	synonym 5	source for synonym 5	source for synonym 5	synonym label from merged term	source for synonym 5	Breed code 1	ALL source for breed code 1, separated by pipe	ALL source for breed code 1, separated by pipe	Breed code 2	ALL source for breed code 2, separated by pipe	ALL source for breed code 2, separated by pipe	Definition 	definition x-ref	Definition Xref	xref1	source for xref1	source for x-ref1	xref2	source for xref2	source for xref2	OMIA xref internal	Recognition status 1	Source for Recognition status 1	Source for Recognition status 1	Recognition status 2	Source for Recognition status 2	Source for Recognition status 2	Recognition status 3	Source for Recognition status 3	Source for Recognition status 3	source for breed	source for breed	contributors	contributors	comment	general comment	comment from obsoletion	description of origin	source for description of origin	source for description of origin	Domestication status	source for domestication status	wikidata link for the country exists_in_country subclass	source for country subclass	source for country subclass	obsoletion Type	obsolete	replacement term	replacement label	comment	GH issue	obsolescence reason	curator note	DADIS_name	DADIS_species_name	DADIS_country	DADIS_ISO3_code	in subset transboundary
VBO:0000046	Cyprus (Ass)	Cyprus	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Cyprus	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Cyprus	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000047	Damascus (Ass)	Damascus	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Damascus	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Damascus	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000048	Dongolawi (Ass)	Dongolawi	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Dongolawi	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Dongolawi	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000049	Hamadan (Ass)	Hamadan	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Hamadan	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Hamadan	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000050	Khulan (Ass)	Khulan	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Khulan	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Khulan	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000051	l’Ane Africain (Ass)	l’Ane Africain	Ass		231120-126	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	l’Ane Africain	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is																																															https://www.fao.org/dad-is		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					l’Ane Africain	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000052	Majorero (Ass)	Majorero	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Majorero	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Majorero	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000053	Mammoth Jack Stock (Ass)	Mammoth Jack Stock	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Mammoth Jack Stock	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Mammoth Jack Stock	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000054	Masai (Ass)	Masai	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Masai	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Masai	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
VBO:0000055	Meskhet-Javakhet (Ass)	Meskhet-Javakhet	Ass		231120-126|231201-120	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/126|https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/120	NCBITaxon:9793	https://www.fao.org/dad-is		VBO:0400000		https://orcid.org/0000-0002-5002-8648|https://orcid.org/0000-0002-4142-7153	Meskhet-Javakhet	http://purl.obolibrary.org/obo/vbo#most_common_name	https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8																																														https://www.fao.org/dad-is	ISBN:978-1-78924-153-2|ISBN:978-1-84593-466-8	https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5520-6597|https://orcid.org/0000-0002-9178-3965																					Meskhet-Javakhet	Ass			http://purl.obolibrary.org/obo/vbo#transboundary
