relation id (required)	type	label (required)	definition (required)	parent relation	creator ORCID (required)	Date created (required)	relation characteristics	domain	range	inverse property	example of use	synonyms	curator/usage notes	gh_issue_NOT_merge_obsolete
ID	TYPE	AL rdfs:label@en	A IAO:0000115	SP %	AI dc:contributor SPLIT=|	AT dc:created^^xsd:dateTime	CHARACTERISTIC SPLIT=|	DOMAIN	RANGE	IP %	A rdfs:comment	A oboInOwl:hasExactSynonym SPLIT=|	A IAO:0000116	AT IAO:0000233^^xsd:anyURI SPLIT=|
VBO:0300019	owl:ObjectProperty	has foundation stock	A relation between two distinct material entities (breeds or species), a descendant entity and an ancestor entity, in which the descendant entity is the result of mating, manipulation, or geographical or cultural isolation of the ancestor entity, therefore inheriting some of the ancestor’s genetic material.		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648	2024-04-11T14:49:29Z	Transitive	NCBITaxon:7742			A "foundation stock" refers to animals that are the progenitors, or foundation, of a breed or of a given bloodline within such. Many modern breeds can be traced to specific, named foundation animals, but a group of animals may be referred to collectively as foundation bloodstock when one distinct population (including both landrace breeds or a group of animals linked to a deliberate and specific selective breeding program) provides part of the underlying genetic base for a new distinct population. (https://en.wikipedia.org/wiki/Foundation_stock.) Example of usage: 'Cymric (cat)' (VBO:0100080) has foundation stock 'Manx (cat)' (VBO:0100156).		has foundation stock can be used to relate a breed to one or more other breeds, or to a "species" (ie an NCBITaxon term) as in the cases of "hybrid breeds". "Hybrid breeds" are created by crossing animals of different species.	https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/209
VBO:0300020	owl:ObjectProperty	of breed reported in	A relation between a breed and the geographic location where the breed was reported to exist by country-nominated FAO National Coordinators.		https://orcid.org/0000-0002-4142-7153|https://orcid.org/0000-0002-5002-8648	2024-11-05T18:13:40Z					Officially nominated FAO National Coordinators report breeds existing in their country (these breeds are reported in the DAD-IS breed list). ‘of breed reported in' refers to the region where the breed was reported. For example: VBO:0007427 represents the “Alatau” breed reported to be found in Kyrgyzstan by the FAO coordinators.			https://github.com/monarch-initiative/vertebrate-breed-ontology/issues/209
