	UBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	transboundary name	species =parent term	parent ID
Belted Galloway!%!Cattle	UBO:0000142	Belted Galloway (Cattle)	Belted Galloway	Cattle	UBO:0000007
Bengali!%!Cattle	UBO:0000143	Bengali (Cattle)	Bengali	Cattle	UBO:0000007
Betizuak!%!Cattle	UBO:0000144	Betizuak (Cattle)	Betizuak	Cattle	UBO:0000007
Bhagnari!%!Cattle	UBO:0000145	Bhagnari (Cattle)	Bhagnari	Cattle	UBO:0000007
Blaarkop!%!Cattle	UBO:0000146	Blaarkop (Cattle)	Blaarkop	Cattle	UBO:0000007
Black-Motley!%!Cattle	UBO:0000147	Black-Motley (Cattle)	Black-Motley	Cattle	UBO:0000007
Blended Milking Shorthorn!%!Cattle	UBO:0000148	Blended Milking Shorthorn (Cattle)	Blended Milking Shorthorn	Cattle	UBO:0000007
Bleue du Nord!%!Cattle	UBO:0000149	Bleue du Nord (Cattle)	Bleue du Nord	Cattle	UBO:0000007
Blonde d Aguitaine!%!Cattle	UBO:0000150	Blonde d Aguitaine (Cattle)	Blonde d Aguitaine	Cattle	UBO:0000007
Blonde d'Aquitaine!%!Cattle	UBO:0000151	Blonde d'Aquitaine (Cattle)	Blonde d'Aquitaine	Cattle	UBO:0000007
Blonde Dâ€™aquitaine!%!Cattle	UBO:0000152	Blonde Dâ€™aquitaine (Cattle)	Blonde Dâ€™aquitaine	Cattle	UBO:0000007
Blondes!%!Cattle	UBO:0000153	Blondes (Cattle)	Blondes	Cattle	UBO:0000007
Bokolodji!%!Cattle	UBO:0000154	Bokolodji (Cattle)	Bokolodji	Cattle	UBO:0000007
Bonsmara!%!Cattle	UBO:0000155	Bonsmara (Cattle)	Bonsmara	Cattle	UBO:0000007
Boran!%!Cattle	UBO:0000156	Boran (Cattle)	Boran	Cattle	UBO:0000007
Borgou!%!Cattle	UBO:0000157	Borgou (Cattle)	Borgou	Cattle	UBO:0000007
Braford!%!Cattle	UBO:0000158	Braford (Cattle)	Braford	Cattle	UBO:0000007
Brahman!%!Cattle	UBO:0000159	Brahman (Cattle)	Brahman	Cattle	UBO:0000007
brand name Carinthian Blond!%!Cattle	UBO:0000160	brand name Carinthian Blond (Cattle)	brand name Carinthian Blond	Cattle	UBO:0000007
Brangus!%!Cattle	UBO:0000161	Brangus (Cattle)	Brangus	Cattle	UBO:0000007
Breton Black Pied!%!Cattle	UBO:0000162	Breton Black Pied (Cattle)	Breton Black Pied	Cattle	UBO:0000007
British White!%!Cattle	UBO:0000163	British White (Cattle)	British White	Cattle	UBO:0000007
Brown Atlas!%!Cattle	UBO:0000164	Brown Atlas (Cattle)	Brown Atlas	Cattle	UBO:0000007
Brown cattle!%!Cattle	UBO:0000165	Brown cattle (Cattle)	Brown cattle	Cattle	UBO:0000007
Brown Swiss!%!Cattle	UBO:0000166	Brown Swiss (Cattle)	Brown Swiss	Cattle	UBO:0000007
BuÅ¡a!%!Cattle	UBO:0000167	BuÅ¡a (Cattle)	BuÅ¡a	Cattle	UBO:0000007
Burmese Gaur!%!Cattle	UBO:0000168	Burmese Gaur (Cattle)	Burmese Gaur	Cattle	UBO:0000007
Busha!%!Cattle	UBO:0000169	Busha (Cattle)	Busha	Cattle	UBO:0000007
Bushuev!%!Cattle	UBO:0000170	Bushuev (Cattle)	Bushuev	Cattle	UBO:0000007
Caldelana!%!Cattle	UBO:0000171	Caldelana (Cattle)	Caldelana	Cattle	UBO:0000007
Caucasian!%!Cattle	UBO:0000172	Caucasian (Cattle)	Caucasian	Cattle	UBO:0000007
Caucasian Brown!%!Cattle	UBO:0000173	Caucasian Brown (Cattle)	Caucasian Brown	Cattle	UBO:0000007
Central Asian Zebu!%!Cattle	UBO:0000174	Central Asian Zebu (Cattle)	Central Asian Zebu	Cattle	UBO:0000007
Chaqueno!%!Cattle	UBO:0000175	Chaqueno (Cattle)	Chaqueno	Cattle	UBO:0000007
Charbray!%!Cattle	UBO:0000176	Charbray (Cattle)	Charbray	Cattle	UBO:0000007
Charolais!%!Cattle	UBO:0000177	Charolais (Cattle)	Charolais	Cattle	UBO:0000007
Chianina!%!Cattle	UBO:0000178	Chianina (Cattle)	Chianina	Cattle	UBO:0000007
Chillingham!%!Cattle	UBO:0000179	Chillingham (Cattle)	Chillingham	Cattle	UBO:0000007
Chusco!%!Cattle	UBO:0000180	Chusco (Cattle)	Chusco	Cattle	UBO:0000007
CrÃ©ole!%!Cattle	UBO:0000181	CrÃ©ole (Cattle)	CrÃ©ole	Cattle	UBO:0000007
Creole!%!Cattle	UBO:0000182	Creole (Cattle)	Creole	Cattle	UBO:0000007
Czech Red!%!Cattle	UBO:0000183	Czech Red (Cattle)	Czech Red	Cattle	UBO:0000007
Dahomey!%!Cattle	UBO:0000184	Dahomey (Cattle)	Dahomey	Cattle	UBO:0000007
Dairy Gir!%!Cattle	UBO:0000185	Dairy Gir (Cattle)	Dairy Gir	Cattle	UBO:0000007
Dairy Shorthorn!%!Cattle	UBO:0000186	Dairy Shorthorn (Cattle)	Dairy Shorthorn	Cattle	UBO:0000007
Dairy Shorthorn (Original Population)!%!Cattle	UBO:0000187	Dairy Shorthorn (Original Population) (Cattle)	Dairy Shorthorn (Original Population)	Cattle	UBO:0000007
Damara!%!Cattle	UBO:0000188	Damara (Cattle)	Damara	Cattle	UBO:0000007
Danakil!%!Cattle	UBO:0000189	Danakil (Cattle)	Danakil	Cattle	UBO:0000007
Danish Holstein!%!Cattle	UBO:0000190	Danish Holstein (Cattle)	Danish Holstein	Cattle	UBO:0000007
Danish Red!%!Cattle	UBO:0000191	Danish Red (Cattle)	Danish Red	Cattle	UBO:0000007
Devon!%!Cattle	UBO:0000192	Devon (Cattle)	Devon	Cattle	UBO:0000007
Dexter!%!Cattle	UBO:0000193	Dexter (Cattle)	Dexter	Cattle	UBO:0000007
DoÃ±ana Cattle!%!Cattle	UBO:0000194	DoÃ±ana Cattle (Cattle)	DoÃ±ana Cattle	Cattle	UBO:0000007
Drakensberger!%!Cattle	UBO:0000195	Drakensberger (Cattle)	Drakensberger	Cattle	UBO:0000007
Droughtmaster!%!Cattle	UBO:0000196	Droughtmaster (Cattle)	Droughtmaster	Cattle	UBO:0000007
Dutch Belted!%!Cattle	UBO:0000197	Dutch Belted (Cattle)	Dutch Belted	Cattle	UBO:0000007
Dutch Friesian!%!Cattle	UBO:0000198	Dutch Friesian (Cattle)	Dutch Friesian	Cattle	UBO:0000007
Estonian Native Cattle!%!Cattle	UBO:0000199	Estonian Native Cattle (Cattle)	Estonian Native Cattle	Cattle	UBO:0000007
Estonian Red!%!Cattle	UBO:0000200	Estonian Red (Cattle)	Estonian Red	Cattle	UBO:0000007
Ethiopian Boran!%!Cattle	UBO:0000201	Ethiopian Boran (Cattle)	Ethiopian Boran	Cattle	UBO:0000007
Ferrandais!%!Cattle	UBO:0000202	Ferrandais (Cattle)	Ferrandais	Cattle	UBO:0000007
Fighting Bull!%!Cattle	UBO:0000203	Fighting Bull (Cattle)	Fighting Bull	Cattle	UBO:0000007
Frieiresa!%!Cattle	UBO:0000204	Frieiresa (Cattle)	Frieiresa	Cattle	UBO:0000007
Fries Hollands!%!Cattle	UBO:0000205	Fries Hollands (Cattle)	Fries Hollands	Cattle	UBO:0000007
Galician Blond!%!Cattle	UBO:0000206	Galician Blond (Cattle)	Galician Blond	Cattle	UBO:0000007
Galloway!%!Cattle	UBO:0000207	Galloway (Cattle)	Galloway	Cattle	UBO:0000007
Gambian N'dama!%!Cattle	UBO:0000208	Gambian N'dama (Cattle)	Gambian N'dama	Cattle	UBO:0000007
Gascon!%!Cattle	UBO:0000209	Gascon (Cattle)	Gascon	Cattle	UBO:0000007
Gaur!%!Cattle	UBO:0000210	Gaur (Cattle)	Gaur	Cattle	UBO:0000007
Gelbrah!%!Cattle	UBO:0000211	Gelbrah (Cattle)	Gelbrah	Cattle	UBO:0000007
Gelbvieh!%!Cattle	UBO:0000212	Gelbvieh (Cattle)	Gelbvieh	Cattle	UBO:0000007
Georgian Mountain!%!Cattle	UBO:0000213	Georgian Mountain (Cattle)	Georgian Mountain	Cattle	UBO:0000007
German Shorthorn!%!Cattle	UBO:0000214	German Shorthorn (Cattle)	German Shorthorn	Cattle	UBO:0000007
Gir!%!Cattle	UBO:0000215	Gir (Cattle)	Gir	Cattle	UBO:0000007
Girolando!%!Cattle	UBO:0000216	Girolando (Cattle)	Girolando	Cattle	UBO:0000007
Glan!%!Cattle	UBO:0000217	Glan (Cattle)	Glan	Cattle	UBO:0000007
Glan Donnersberg!%!Cattle	UBO:0000218	Glan Donnersberg (Cattle)	Glan Donnersberg	Cattle	UBO:0000007
Gloucester!%!Cattle	UBO:0000219	Gloucester (Cattle)	Gloucester	Cattle	UBO:0000007
Gorbatov Red!%!Cattle	UBO:0000220	Gorbatov Red (Cattle)	Gorbatov Red	Cattle	UBO:0000007
Goudali!%!Cattle	UBO:0000221	Goudali (Cattle)	Goudali	Cattle	UBO:0000007
Grauvieh!%!Cattle	UBO:0000222	Grauvieh (Cattle)	Grauvieh	Cattle	UBO:0000007
Greater Caucasus!%!Cattle	UBO:0000223	Greater Caucasus (Cattle)	Greater Caucasus	Cattle	UBO:0000007
Greek Shorthorn!%!Cattle	UBO:0000224	Greek Shorthorn (Cattle)	Greek Shorthorn	Cattle	UBO:0000007
Groningen White-Headed!%!Cattle	UBO:0000225	Groningen White-Headed (Cattle)	Groningen White-Headed	Cattle	UBO:0000007
Guabala!%!Cattle	UBO:0000226	Guabala (Cattle)	Guabala	Cattle	UBO:0000007
Guernsey!%!Cattle	UBO:0000227	Guernsey (Cattle)	Guernsey	Cattle	UBO:0000007
Guzerat!%!Cattle	UBO:0000228	Guzerat (Cattle)	Guzerat	Cattle	UBO:0000007
Hanwoo!%!Cattle	UBO:0000229	Hanwoo (Cattle)	Hanwoo	Cattle	UBO:0000007
Hariana!%!Cattle	UBO:0000230	Hariana (Cattle)	Hariana	Cattle	UBO:0000007
Heck Cattle!%!Cattle	UBO:0000231	Heck Cattle (Cattle)	Heck Cattle	Cattle	UBO:0000007
Hereford!%!Cattle	UBO:0000232	Hereford (Cattle)	Hereford	Cattle	UBO:0000007
Herens!%!Cattle	UBO:0000233	Herens (Cattle)	Herens	Cattle	UBO:0000007
Highland!%!Cattle	UBO:0000234	Highland (Cattle)	Highland	Cattle	UBO:0000007
Hinterwald!%!Cattle	UBO:0000235	Hinterwald (Cattle)	Hinterwald	Cattle	UBO:0000007
Hissar!%!Cattle	UBO:0000236	Hissar (Cattle)	Hissar	Cattle	UBO:0000007
Holstein (black and white)!%!Cattle	UBO:0000237	Holstein (black and white) (Cattle)	Holstein (black and white)	Cattle	UBO:0000007
Holstein (red and white)!%!Cattle	UBO:0000238	Holstein (red and white) (Cattle)	Holstein (red and white)	Cattle	UBO:0000007
Holstein Friesian!%!Cattle	UBO:0000239	Holstein Friesian (Cattle)	Holstein Friesian	Cattle	UBO:0000007
Holstein Friesian (black and white)!%!Cattle	UBO:0000240	Holstein Friesian (black and white) (Cattle)	Holstein Friesian (black and white)	Cattle	UBO:0000007
Hungarian Grey!%!Cattle	UBO:0000241	Hungarian Grey (Cattle)	Hungarian Grey	Cattle	UBO:0000007
Icelandic Cattle!%!Cattle	UBO:0000242	Icelandic Cattle (Cattle)	Icelandic Cattle	Cattle	UBO:0000007
Illawarra Shorthorn!%!Cattle	UBO:0000243	Illawarra Shorthorn (Cattle)	Illawarra Shorthorn	Cattle	UBO:0000007
Indo-Brasilian!%!Cattle	UBO:0000244	Indo-Brasilian (Cattle)	Indo-Brasilian	Cattle	UBO:0000007
Inra 95!%!Cattle	UBO:0000245	Inra 95 (Cattle)	Inra 95	Cattle	UBO:0000007
Irish Moiled!%!Cattle	UBO:0000246	Irish Moiled (Cattle)	Irish Moiled	Cattle	UBO:0000007
Istoben!%!Cattle	UBO:0000247	Istoben (Cattle)	Istoben	Cattle	UBO:0000007
Jamaica Hope!%!Cattle	UBO:0000248	Jamaica Hope (Cattle)	Jamaica Hope	Cattle	UBO:0000007
Japanese Native!%!Cattle	UBO:0000249	Japanese Native (Cattle)	Japanese Native	Cattle	UBO:0000007
Jersey!%!Cattle	UBO:0000250	Jersey (Cattle)	Jersey	Cattle	UBO:0000007
Jiddu!%!Cattle	UBO:0000251	Jiddu (Cattle)	Jiddu	Cattle	UBO:0000007
Jutland Cattle!%!Cattle	UBO:0000252	Jutland Cattle (Cattle)	Jutland Cattle	Cattle	UBO:0000007
Kalmyk!%!Cattle	UBO:0000253	Kalmyk (Cattle)	Kalmyk	Cattle	UBO:0000007
Kangayam!%!Cattle	UBO:0000254	Kangayam (Cattle)	Kangayam	Cattle	UBO:0000007
Katerini!%!Cattle	UBO:0000255	Katerini (Cattle)	Katerini	Cattle	UBO:0000007
Kazakh!%!Cattle	UBO:0000256	Kazakh (Cattle)	Kazakh	Cattle	UBO:0000007
Kazakh Whiteheaded!%!Cattle	UBO:0000257	Kazakh Whiteheaded (Cattle)	Kazakh Whiteheaded	Cattle	UBO:0000007
Kerry!%!Cattle	UBO:0000258	Kerry (Cattle)	Kerry	Cattle	UBO:0000007
Khillari!%!Cattle	UBO:0000259	Khillari (Cattle)	Khillari	Cattle	UBO:0000007
Kholmogory!%!Cattle	UBO:0000260	Kholmogory (Cattle)	Kholmogory	Cattle	UBO:0000007
Kostroma!%!Cattle	UBO:0000261	Kostroma (Cattle)	Kostroma	Cattle	UBO:0000007
Kouprey!%!Cattle	UBO:0000262	Kouprey (Cattle)	Kouprey	Cattle	UBO:0000007
Kurdi!%!Cattle	UBO:0000263	Kurdi (Cattle)	Kurdi	Cattle	UBO:0000007
Kurgan!%!Cattle	UBO:0000264	Kurgan (Cattle)	Kurgan	Cattle	UBO:0000007
Kuri!%!Cattle	UBO:0000265	Kuri (Cattle)	Kuri	Cattle	UBO:0000007
Lagune!%!Cattle	UBO:0000266	Lagune (Cattle)	Lagune	Cattle	UBO:0000007
Lakenvelder!%!Cattle	UBO:0000267	Lakenvelder (Cattle)	Lakenvelder	Cattle	UBO:0000007
Latvian Brown!%!Cattle	UBO:0000268	Latvian Brown (Cattle)	Latvian Brown	Cattle	UBO:0000007
Lebanese!%!Cattle	UBO:0000269	Lebanese (Cattle)	Lebanese	Cattle	UBO:0000007
Lebedin!%!Cattle	UBO:0000270	Lebedin (Cattle)	Lebedin	Cattle	UBO:0000007
Leonese!%!Cattle	UBO:0000271	Leonese (Cattle)	Leonese	Cattle	UBO:0000007
Limangus!%!Cattle	UBO:0000272	Limangus (Cattle)	Limangus	Cattle	UBO:0000007
LimiÃ¡!%!Cattle	UBO:0000273	LimiÃ¡ (Cattle)	LimiÃ¡	Cattle	UBO:0000007
Limousin!%!Cattle	UBO:0000274	Limousin (Cattle)	Limousin	Cattle	UBO:0000007
Limpurger!%!Cattle	UBO:0000275	Limpurger (Cattle)	Limpurger	Cattle	UBO:0000007
Lincoln Red!%!Cattle	UBO:0000276	Lincoln Red (Cattle)	Lincoln Red	Cattle	UBO:0000007
Lithuanian Red (LR)!%!Cattle	UBO:0000277	Lithuanian Red (LR) (Cattle)	Lithuanian Red (LR)	Cattle	UBO:0000007
Longhorn!%!Cattle	UBO:0000278	Longhorn (Cattle)	Longhorn	Cattle	UBO:0000007
Lourdais!%!Cattle	UBO:0000279	Lourdais (Cattle)	Lourdais	Cattle	UBO:0000007
Lowline!%!Cattle	UBO:0000280	Lowline (Cattle)	Lowline	Cattle	UBO:0000007
Lugware!%!Cattle	UBO:0000281	Lugware (Cattle)	Lugware	Cattle	UBO:0000007
Luing!%!Cattle	UBO:0000282	Luing (Cattle)	Luing	Cattle	UBO:0000007
Lulu!%!Cattle	UBO:0000283	Lulu (Cattle)	Lulu	Cattle	UBO:0000007
MÃ¶lltaler!%!Cattle	UBO:0000284	MÃ¶lltaler (Cattle)	MÃ¶lltaler	Cattle	UBO:0000007
