	UBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	transboundary name	species =parent term	parent ID
	ID	LABEL			SC %
Alpaca!%!Alpaca	UBO:0000038	Alpaca (Alpaca)	Alpaca	Alpaca	UBO:0000001
Huacaya!%!Alpaca	UBO:0000039	Huacaya (Alpaca)	Huacaya	Alpaca	UBO:0000001
Suri!%!Alpaca	UBO:0000040	Suri (Alpaca)	Suri	Alpaca	UBO:0000001
American Bison!%!American Bison	UBO:0000041	American Bison (American Bison)	American Bison	American Bison	UBO:0000002
Andaluza!%!Ass	UBO:0000042	Andaluza (Ass)	Andaluza	Ass	UBO:0000003
Balearic donkey breed!%!Ass	UBO:0000043	Balearic donkey breed (Ass)	Balearic donkey breed	Ass	UBO:0000003
Burro Criollo!%!Ass	UBO:0000044	Burro Criollo (Ass)	Burro Criollo	Ass	UBO:0000003
Burro Kentucky!%!Ass	UBO:0000045	Burro Kentucky (Ass)	Burro Kentucky	Ass	UBO:0000003
Cyprus!%!Ass	UBO:0000046	Cyprus (Ass)	Cyprus	Ass	UBO:0000003
Damascus!%!Ass	UBO:0000047	Damascus (Ass)	Damascus	Ass	UBO:0000003
Dongolawi!%!Ass	UBO:0000048	Dongolawi (Ass)	Dongolawi	Ass	UBO:0000003
Hamadan!%!Ass	UBO:0000049	Hamadan (Ass)	Hamadan	Ass	UBO:0000003
Khulan!%!Ass	UBO:0000050	Khulan (Ass)	Khulan	Ass	UBO:0000003
lâ€™Ane Africain!%!Ass	UBO:0000051	lâ€™Ane Africain (Ass)	lâ€™Ane Africain	Ass	UBO:0000003
Majorero!%!Ass	UBO:0000052	Majorero (Ass)	Majorero	Ass	UBO:0000003
Mammoth Jack Stock!%!Ass	UBO:0000053	Mammoth Jack Stock (Ass)	Mammoth Jack Stock	Ass	UBO:0000003
Masai!%!Ass	UBO:0000054	Masai (Ass)	Masai	Ass	UBO:0000003
Meskhet-Javakhet!%!Ass	UBO:0000055	Meskhet-Javakhet (Ass)	Meskhet-Javakhet	Ass	UBO:0000003
Native of North Africa!%!Ass	UBO:0000056	Native of North Africa (Ass)	Native of North Africa	Ass	UBO:0000003
Pega!%!Ass	UBO:0000057	Pega (Ass)	Pega	Ass	UBO:0000003
Poitou!%!Ass	UBO:0000058	Poitou (Ass)	Poitou	Ass	UBO:0000003
Somali!%!Ass	UBO:0000059	Somali (Ass)	Somali	Ass	UBO:0000003
Somali Wild Ass!%!Ass	UBO:0000060	Somali Wild Ass (Ass)	Somali Wild Ass	Ass	UBO:0000003
Syrian!%!Ass	UBO:0000061	Syrian (Ass)	Syrian	Ass	UBO:0000003
Tibetan!%!Ass	UBO:0000062	Tibetan (Ass)	Tibetan	Ass	UBO:0000003
Kazakh Bactrian!%!Bactrian camel	UBO:0000063	Kazakh Bactrian (Bactrian camel)	Kazakh Bactrian	Bactrian camel	UBO:0000004
Mongolian Bactrian!%!Bactrian camel	UBO:0000064	Mongolian Bactrian (Bactrian camel)	Mongolian Bactrian	Bactrian camel	UBO:0000004
Anatolian Water Buffalo!%!Buffalo	UBO:0000065	Anatolian Water Buffalo (Buffalo)	Anatolian Water Buffalo	Buffalo	UBO:0000005
Arni!%!Buffalo	UBO:0000066	Arni (Buffalo)	Arni	Buffalo	UBO:0000005
Borneo Buffalo!%!Buffalo	UBO:0000067	Borneo Buffalo (Buffalo)	Borneo Buffalo	Buffalo	UBO:0000005
buffalo!%!Buffalo	UBO:0000068	buffalo (Buffalo)	buffalo	Buffalo	UBO:0000005
Buffalypso!%!Buffalo	UBO:0000069	Buffalypso (Buffalo)	Buffalypso	Buffalo	UBO:0000005
Caucasian!%!Buffalo	UBO:0000070	Caucasian (Buffalo)	Caucasian	Buffalo	UBO:0000005
Egyptian!%!Buffalo	UBO:0000071	Egyptian (Buffalo)	Egyptian	Buffalo	UBO:0000005
Georgian buffalo!%!Buffalo	UBO:0000072	Georgian buffalo (Buffalo)	Georgian buffalo	Buffalo	UBO:0000005
Jafarabadi!%!Buffalo	UBO:0000073	Jafarabadi (Buffalo)	Jafarabadi	Buffalo	UBO:0000005
Mediterranean!%!Buffalo	UBO:0000074	Mediterranean (Buffalo)	Mediterranean	Buffalo	UBO:0000005
Mehsana!%!Buffalo	UBO:0000075	Mehsana (Buffalo)	Mehsana	Buffalo	UBO:0000005
Murrah!%!Buffalo	UBO:0000076	Murrah (Buffalo)	Murrah	Buffalo	UBO:0000005
Nili!%!Buffalo	UBO:0000077	Nili (Buffalo)	Nili	Buffalo	UBO:0000005
Nili-Ravi!%!Buffalo	UBO:0000078	Nili-Ravi (Buffalo)	Nili-Ravi	Buffalo	UBO:0000005
None!%!Buffalo	UBO:0000079	None (Buffalo)	None	Buffalo	UBO:0000005
Philippine Carabao!%!Buffalo	UBO:0000080	Philippine Carabao (Buffalo)	Philippine Carabao	Buffalo	UBO:0000005
riverine buffalo!%!Buffalo	UBO:0000081	riverine buffalo (Buffalo)	riverine buffalo	Buffalo	UBO:0000005
Surti!%!Buffalo	UBO:0000082	Surti (Buffalo)	Surti	Buffalo	UBO:0000005
Swamp buffalo!%!Buffalo	UBO:0000083	Swamp buffalo (Buffalo)	Swamp buffalo	Buffalo	UBO:0000005
Tarai!%!Buffalo	UBO:0000084	Tarai (Buffalo)	Tarai	Buffalo	UBO:0000005
water Buffalo!%!Buffalo	UBO:0000085	water Buffalo (Buffalo)	water Buffalo	Buffalo	UBO:0000005
Wild Water Buffalo!%!Buffalo	UBO:0000086	Wild Water Buffalo (Buffalo)	Wild Water Buffalo	Buffalo	UBO:0000005
Cassowary!%!Cassowary	UBO:0000087	Cassowary (Cassowary)	Cassowary	Cassowary	UBO:0000006
(Zavot)!%!Cattle	UBO:0000088	(Zavot) (Cattle)	(Zavot)	Cattle	UBO:0000007
Aberdeen Angus!%!Cattle	UBO:0000089	Aberdeen Angus (Cattle)	Aberdeen Angus	Cattle	UBO:0000007
Aberdeen-Angus!%!Cattle	UBO:0000090	Aberdeen-Angus (Cattle)	Aberdeen-Angus	Cattle	UBO:0000007
Abondance!%!Cattle	UBO:0000091	Abondance (Cattle)	Abondance	Cattle	UBO:0000007
Adamawa!%!Cattle	UBO:0000092	Adamawa (Cattle)	Adamawa	Cattle	UBO:0000007
African Aurochs!%!Cattle	UBO:0000093	African Aurochs (Cattle)	African Aurochs	Cattle	UBO:0000007
Africander!%!Cattle	UBO:0000094	Africander (Cattle)	Africander	Cattle	UBO:0000007
AFS!%!Cattle	UBO:0000095	AFS (Cattle)	AFS	Cattle	UBO:0000007
Ala-Tau!%!Cattle	UBO:0000096	Ala-Tau (Cattle)	Ala-Tau	Cattle	UBO:0000007
Alistana-Sanabresa!%!Cattle	UBO:0000097	Alistana-Sanabresa (Cattle)	Alistana-Sanabresa	Cattle	UBO:0000007
Alpha 16!%!Cattle	UBO:0000098	Alpha 16 (Cattle)	Alpha 16	Cattle	UBO:0000007
American Dutch Belted!%!Cattle	UBO:0000099	American Dutch Belted (Cattle)	American Dutch Belted	Cattle	UBO:0000007
Anatolian Grey!%!Cattle	UBO:0000100	Anatolian Grey (Cattle)	Anatolian Grey	Cattle	UBO:0000007
Andalusian Grey!%!Cattle	UBO:0000101	Andalusian Grey (Cattle)	Andalusian Grey	Cattle	UBO:0000007
Angeln!%!Cattle	UBO:0000102	Angeln (Cattle)	Angeln	Cattle	UBO:0000007
Angoni!%!Cattle	UBO:0000103	Angoni (Cattle)	Angoni	Cattle	UBO:0000007
Angus!%!Cattle	UBO:0000104	Angus (Cattle)	Angus	Cattle	UBO:0000007
Ankole!%!Cattle	UBO:0000105	Ankole (Cattle)	Ankole	Cattle	UBO:0000007
Ansbach-Triesdorfer!%!Cattle	UBO:0000106	Ansbach-Triesdorfer (Cattle)	Ansbach-Triesdorfer	Cattle	UBO:0000007
Arado!%!Cattle	UBO:0000107	Arado (Cattle)	Arado	Cattle	UBO:0000007
Argentine Criollo!%!Cattle	UBO:0000108	Argentine Criollo (Cattle)	Argentine Criollo	Cattle	UBO:0000007
Armorican!%!Cattle	UBO:0000109	Armorican (Cattle)	Armorican	Cattle	UBO:0000007
Arunachalee!%!Cattle	UBO:0000110	Arunachalee (Cattle)	Arunachalee	Cattle	UBO:0000007
Asturian Valley!%!Cattle	UBO:0000111	Asturian Valley (Cattle)	Asturian Valley	Cattle	UBO:0000007
Aubrac!%!Cattle	UBO:0000112	Aubrac (Cattle)	Aubrac	Cattle	UBO:0000007
Aulie-Ata!%!Cattle	UBO:0000113	Aulie-Ata (Cattle)	Aulie-Ata	Cattle	UBO:0000007
Australian Bazadais!%!Cattle	UBO:0000114	Australian Bazadais (Cattle)	Australian Bazadais	Cattle	UBO:0000007
Australian Friesian Sahiwal!%!Cattle	UBO:0000115	Australian Friesian Sahiwal (Cattle)	Australian Friesian Sahiwal	Cattle	UBO:0000007
Australian Friesian-Sahiwal!%!Cattle	UBO:0000116	Australian Friesian-Sahiwal (Cattle)	Australian Friesian-Sahiwal	Cattle	UBO:0000007
Australian Lowline!%!Cattle	UBO:0000117	Australian Lowline (Cattle)	Australian Lowline	Cattle	UBO:0000007
Australian Milking Zebu!%!Cattle	UBO:0000118	Australian Milking Zebu (Cattle)	Australian Milking Zebu	Cattle	UBO:0000007
AVILEÃ‘A-NEGRA IBÃ‰RICA!%!Cattle	UBO:0000119	AVILEÃ‘A-NEGRA IBÃ‰RICA (Cattle)	AVILEÃ‘A-NEGRA IBÃ‰RICA	Cattle	UBO:0000007
Ayrshire!%!Cattle	UBO:0000120	Ayrshire (Cattle)	Ayrshire	Cattle	UBO:0000007
Azaouak!%!Cattle	UBO:0000121	Azaouak (Cattle)	Azaouak	Cattle	UBO:0000007
Azerbaijan Zebu!%!Cattle	UBO:0000122	Azerbaijan Zebu (Cattle)	Azerbaijan Zebu	Cattle	UBO:0000007
Bahima!%!Cattle	UBO:0000123	Bahima (Cattle)	Bahima	Cattle	UBO:0000007
Balancer!%!Cattle	UBO:0000124	Balancer (Cattle)	Balancer	Cattle	UBO:0000007
Bali!%!Cattle	UBO:0000125	Bali (Cattle)	Bali	Cattle	UBO:0000007
Bambara!%!Cattle	UBO:0000126	Bambara (Cattle)	Bambara	Cattle	UBO:0000007
Bambawa!%!Cattle	UBO:0000127	Bambawa (Cattle)	Bambawa	Cattle	UBO:0000007
Banteng!%!Cattle	UBO:0000128	Banteng (Cattle)	Banteng	Cattle	UBO:0000007
BaoulÃ©!%!Cattle	UBO:0000129	BaoulÃ© (Cattle)	BaoulÃ©	Cattle	UBO:0000007
Barka!%!Cattle	UBO:0000130	Barka (Cattle)	Barka	Cattle	UBO:0000007
Barotse!%!Cattle	UBO:0000131	Barotse (Cattle)	Barotse	Cattle	UBO:0000007
Bazadais!%!Cattle	UBO:0000132	Bazadais (Cattle)	Bazadais	Cattle	UBO:0000007
Bearnais!%!Cattle	UBO:0000133	Bearnais (Cattle)	Bearnais	Cattle	UBO:0000007
Beef Fleckvieh!%!Cattle	UBO:0000134	Beef Fleckvieh (Cattle)	Beef Fleckvieh	Cattle	UBO:0000007
Beef Pinzgau!%!Cattle	UBO:0000135	Beef Pinzgau (Cattle)	Beef Pinzgau	Cattle	UBO:0000007
Beef Shorthorn!%!Cattle	UBO:0000136	Beef Shorthorn (Cattle)	Beef Shorthorn	Cattle	UBO:0000007
Beefalo!%!Cattle	UBO:0000137	Beefalo (Cattle)	Beefalo	Cattle	UBO:0000007
Beefmaster!%!Cattle	UBO:0000138	Beefmaster (Cattle)	Beefmaster	Cattle	UBO:0000007
Belgian Blue!%!Cattle	UBO:0000139	Belgian Blue (Cattle)	Belgian Blue	Cattle	UBO:0000007
Belgian Blue mixte!%!Cattle	UBO:0000140	Belgian Blue mixte (Cattle)	Belgian Blue mixte	Cattle	UBO:0000007
Belmont Red!%!Cattle	UBO:0000141	Belmont Red (Cattle)	Belmont Red	Cattle	UBO:0000007
