	VBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	new label	updated transboundary name (correct spelling)	species =parent term	parent ID	source for parents	in subset transboundary
Arni!%!Buffalo	VBO:0000066	Arni (Buffalo)	Arni; Buffalo	Arni	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Borneo Buffalo!%!Buffalo	VBO:0000067	Borneo Buffalo (Buffalo)	Borneo Buffalo; Buffalo	Borneo Buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
buffalo!%!Buffalo	VBO:0000068	buffalo (Buffalo)	buffalo; Buffalo	buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Buffalypso!%!Buffalo	VBO:0000069	Buffalypso (Buffalo)	Buffalypso; Buffalo	Buffalypso	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Caucasian!%!Buffalo	VBO:0000070	Caucasian (Buffalo)	Caucasian; Buffalo	Caucasian	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Egyptian!%!Buffalo	VBO:0000071	Egyptian (Buffalo)	Egyptian; Buffalo	Egyptian	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Georgian buffalo!%!Buffalo	VBO:0000072	Georgian buffalo (Buffalo)	Georgian buffalo; Buffalo	Georgian buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Jafarabadi!%!Buffalo	VBO:0000073	Jafarabadi (Buffalo)	Jafarabadi; Buffalo	Jafarabadi	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mediterranean!%!Buffalo	VBO:0000074	Mediterranean (Buffalo)	Mediterranean; Buffalo	Mediterranean	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Mehsana!%!Buffalo	VBO:0000075	Mehsana (Buffalo)	Mehsana; Buffalo	Mehsana	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Murrah!%!Buffalo	VBO:0000076	Murrah (Buffalo)	Murrah; Buffalo	Murrah	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Nili!%!Buffalo	VBO:0000077	Nili (Buffalo)	Nili; Buffalo	Nili	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Nili-Ravi!%!Buffalo	VBO:0000078	Nili-Ravi (Buffalo)	Nili-Ravi; Buffalo	Nili-Ravi	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
None!%!Buffalo	VBO:0000079	None (Buffalo)	None; Buffalo	None	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Philippine Carabao!%!Buffalo	VBO:0000080	Philippine Carabao (Buffalo)	Philippine Carabao; Buffalo	Philippine Carabao	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
riverine buffalo!%!Buffalo	VBO:0000081	riverine buffalo (Buffalo)	riverine buffalo; Buffalo	riverine buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Surti!%!Buffalo	VBO:0000082	Surti (Buffalo)	Surti; Buffalo	Surti	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Swamp buffalo!%!Buffalo	VBO:0000083	Swamp buffalo (Buffalo)	Swamp buffalo; Buffalo	Swamp buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Tarai!%!Buffalo	VBO:0000084	Tarai (Buffalo)	Tarai; Buffalo	Tarai	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
water buffalo!%!Buffalo	VBO:0000085	water buffalo (Buffalo)	water buffalo; Buffalo	water buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Wild Water Buffalo!%!Buffalo	VBO:0000086	Wild Water Buffalo (Buffalo)	Wild Water Buffalo; Buffalo	Wild Water Buffalo	Buffalo	NCBITaxon:89462	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cassowary!%!Cassowary	VBO:0000087	Cassowary (Cassowary)	Cassowary; Cassowary	Cassowary	Cassowary	NCBITaxon:8787	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
(Zavot)!%!Cattle	VBO:0000088	Zavot (Cattle)	Zavot; Cattle	Zavot	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Aberdeen-Angus!%!Cattle	VBO:0000090	Aberdeen-Angus (Cattle)	Aberdeen-Angus; Cattle	Aberdeen-Angus	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Abondance!%!Cattle	VBO:0000091	Abondance (Cattle)	Abondance; Cattle	Abondance	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Adamawa!%!Cattle	VBO:0000092	Adamawa (Cattle)	Adamawa; Cattle	Adamawa	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
African Aurochs!%!Cattle	VBO:0000093	African Aurochs (Cattle)	African Aurochs; Cattle	African Aurochs	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Africander!%!Cattle	VBO:0000094	Africander (Cattle)	Africander; Cattle	Africander	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
AFS!%!Cattle	VBO:0000095	AFS (Cattle)	AFS; Cattle	AFS	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ala-Tau!%!Cattle	VBO:0000096	Ala-Tau (Cattle)	Ala-Tau; Cattle	Ala-Tau	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Alistana-Sanabresa!%!Cattle	VBO:0000097	Alistana-Sanabresa (Cattle)	Alistana-Sanabresa; Cattle	Alistana-Sanabresa	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Alpha 16!%!Cattle	VBO:0000098	Alpha 16 (Cattle)	Alpha 16; Cattle	Alpha 16	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
American Dutch Belted!%!Cattle	VBO:0000099	American Dutch Belted (Cattle)	American Dutch Belted; Cattle	American Dutch Belted	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Anatolian Grey!%!Cattle	VBO:0000100	Anatolian Grey (Cattle)	Anatolian Grey; Cattle	Anatolian Grey	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Andalusian Grey!%!Cattle	VBO:0000101	Andalusian Grey (Cattle)	Andalusian Grey; Cattle	Andalusian Grey	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Angeln!%!Cattle	VBO:0000102	Angeln (Cattle)	Angeln; Cattle	Angeln	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Angoni!%!Cattle	VBO:0000103	Angoni (Cattle)	Angoni; Cattle	Angoni	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Angus!%!Cattle	VBO:0000104	Angus (Cattle)	Angus; Cattle	Angus	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ankole!%!Cattle	VBO:0000105	Ankole (Cattle)	Ankole; Cattle	Ankole	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ansbach-Triesdorfer!%!Cattle	VBO:0000106	Ansbach-Triesdorfer (Cattle)	Ansbach-Triesdorfer; Cattle	Ansbach-Triesdorfer	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Arado!%!Cattle	VBO:0000107	Arado (Cattle)	Arado; Cattle	Arado	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Argentine Criollo!%!Cattle	VBO:0000108	Argentine Criollo (Cattle)	Argentine Criollo; Cattle	Argentine Criollo	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Armorican!%!Cattle	VBO:0000109	Armorican (Cattle)	Armorican; Cattle	Armorican	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Arunachalee!%!Cattle	VBO:0000110	Arunachalee (Cattle)	Arunachalee; Cattle	Arunachalee	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Asturian Valley!%!Cattle	VBO:0000111	Asturian Valley (Cattle)	Asturian Valley; Cattle	Asturian Valley	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Aubrac!%!Cattle	VBO:0000112	Aubrac (Cattle)	Aubrac; Cattle	Aubrac	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Aulie-Ata!%!Cattle	VBO:0000113	Aulie-Ata (Cattle)	Aulie-Ata; Cattle	Aulie-Ata	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Australian Bazadais!%!Cattle	VBO:0000114	Australian Bazadais (Cattle)	Australian Bazadais; Cattle	Australian Bazadais	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Australian Friesian Sahiwal!%!Cattle	VBO:0000115	Australian Friesian Sahiwal (Cattle)	Australian Friesian Sahiwal; Cattle	Australian Friesian Sahiwal	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Australian Lowline!%!Cattle	VBO:0000117	Australian Lowline (Cattle)	Australian Lowline; Cattle	Australian Lowline	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Australian Milking Zebu!%!Cattle	VBO:0000118	Australian Milking Zebu (Cattle)	Australian Milking Zebu; Cattle	Australian Milking Zebu	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Ayrshire!%!Cattle	VBO:0000120	Ayrshire (Cattle)	Ayrshire; Cattle	Ayrshire	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Azaouak!%!Cattle	VBO:0000121	Azaouak (Cattle)	Azaouak; Cattle	Azaouak	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Azerbaijan Zebu!%!Cattle	VBO:0000122	Azerbaijan Zebu (Cattle)	Azerbaijan Zebu; Cattle	Azerbaijan Zebu	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bahima!%!Cattle	VBO:0000123	Bahima (Cattle)	Bahima; Cattle	Bahima	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Balancer!%!Cattle	VBO:0000124	Balancer (Cattle)	Balancer; Cattle	Balancer	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bali!%!Cattle	VBO:0000125	Bali (Cattle)	Bali; Cattle	Bali	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bambara!%!Cattle	VBO:0000126	Bambara (Cattle)	Bambara; Cattle	Bambara	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bambawa!%!Cattle	VBO:0000127	Bambawa (Cattle)	Bambawa; Cattle	Bambawa	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Banteng!%!Cattle	VBO:0000128	Banteng (Cattle)	Banteng; Cattle	Banteng	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
BaoulÃ©!%!Cattle	VBO:0000129	Baoulé (Cattle)	Baoulé; Cattle	Baoulé	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barka!%!Cattle	VBO:0000130	Barka (Cattle)	Barka; Cattle	Barka	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barotse!%!Cattle	VBO:0000131	Barotse (Cattle)	Barotse; Cattle	Barotse	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bazadais!%!Cattle	VBO:0000132	Bazadais (Cattle)	Bazadais; Cattle	Bazadais	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bearnais!%!Cattle	VBO:0000133	Bearnais (Cattle)	Bearnais; Cattle	Bearnais	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beef Fleckvieh!%!Cattle	VBO:0000134	Beef Fleckvieh (Cattle)	Beef Fleckvieh; Cattle	Beef Fleckvieh	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beef Pinzgau!%!Cattle	VBO:0000135	Beef Pinzgau (Cattle)	Beef Pinzgau; Cattle	Beef Pinzgau	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beef Shorthorn!%!Cattle	VBO:0000136	Beef Shorthorn (Cattle)	Beef Shorthorn; Cattle	Beef Shorthorn	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beefalo!%!Cattle	VBO:0000137	Beefalo (Cattle)	Beefalo; Cattle	Beefalo	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Beefmaster!%!Cattle	VBO:0000138	Beefmaster (Cattle)	Beefmaster; Cattle	Beefmaster	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belgian Blue!%!Cattle	VBO:0000139	Belgian Blue (Cattle)	Belgian Blue; Cattle	Belgian Blue	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belgian Blue mixte!%!Cattle	VBO:0000140	Belgian Blue mixte (Cattle)	Belgian Blue mixte; Cattle	Belgian Blue mixte	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belmont Red!%!Cattle	VBO:0000141	Belmont Red (Cattle)	Belmont Red; Cattle	Belmont Red	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belted Galloway!%!Cattle	VBO:0000142	Belted Galloway (Cattle)	Belted Galloway; Cattle	Belted Galloway	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bengali!%!Cattle	VBO:0000143	Bengali (Cattle)	Bengali; Cattle	Bengali	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Betizuak!%!Cattle	VBO:0000144	Betizuak (Cattle)	Betizuak; Cattle	Betizuak	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bhagnari!%!Cattle	VBO:0000145	Bhagnari (Cattle)	Bhagnari; Cattle	Bhagnari	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blaarkop!%!Cattle	VBO:0000146	Blaarkop (Cattle)	Blaarkop; Cattle	Blaarkop	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Black-Motley!%!Cattle	VBO:0000147	Black-Motley (Cattle)	Black-Motley; Cattle	Black-Motley	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blended Milking Shorthorn!%!Cattle	VBO:0000148	Blended Milking Shorthorn (Cattle)	Blended Milking Shorthorn; Cattle	Blended Milking Shorthorn	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bleue du Nord!%!Cattle	VBO:0000149	Bleue du Nord (Cattle)	Bleue du Nord; Cattle	Bleue du Nord	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blonde d'Aquitaine!%!Cattle	VBO:0000151	Blonde d'Aquitaine (Cattle)	Blonde d'Aquitaine; Cattle	Blonde d'Aquitaine	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Blondes!%!Cattle	VBO:0000153	Blondes (Cattle)	Blondes; Cattle	Blondes	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bokolodji!%!Cattle	VBO:0000154	Bokolodji (Cattle)	Bokolodji; Cattle	Bokolodji	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bonsmara!%!Cattle	VBO:0000155	Bonsmara (Cattle)	Bonsmara; Cattle	Bonsmara	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Boran!%!Cattle	VBO:0000156	Boran (Cattle)	Boran; Cattle	Boran	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Borgou!%!Cattle	VBO:0000157	Borgou (Cattle)	Borgou; Cattle	Borgou	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Braford!%!Cattle	VBO:0000158	Braford (Cattle)	Braford; Cattle	Braford	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brahman!%!Cattle	VBO:0000159	Brahman (Cattle)	Brahman; Cattle	Brahman	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
brand name Carinthian Blond!%!Cattle	VBO:0000160	brand name Carinthian Blond (Cattle)	brand name Carinthian Blond; Cattle	brand name Carinthian Blond	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brangus!%!Cattle	VBO:0000161	Brangus (Cattle)	Brangus; Cattle	Brangus	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Breton Black Pied!%!Cattle	VBO:0000162	Breton Black Pied (Cattle)	Breton Black Pied; Cattle	Breton Black Pied	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
British White!%!Cattle	VBO:0000163	British White (Cattle)	British White; Cattle	British White	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brown Atlas!%!Cattle	VBO:0000164	Brown Atlas (Cattle)	Brown Atlas; Cattle	Brown Atlas	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brown cattle!%!Cattle	VBO:0000165	Brown cattle (Cattle)	Brown cattle; Cattle	Brown cattle	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brown Swiss!%!Cattle	VBO:0000166	Brown Swiss (Cattle)	Brown Swiss; Cattle	Brown Swiss	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
BuÅ¡a!%!Cattle	VBO:0000167	Buša (Cattle)	Buša; Cattle	Buša	Cattle	NCBITaxon:9913	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
