	VBO:ID (start after the species ID)	label (includes species name because the same name might be shared between species)	new label	updated transboundary name (correct spelling)	species =parent term	parent ID	source for parents	in subset transboundary
Bantam!%!Chicken	VBO:0000450	Bantam (Chicken)	Bantam; Chicken	Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barbu d'Anvers!%!Chicken	VBO:0000451	Barbu d'Anvers (Chicken)	Barbu d'Anvers; Chicken	Barbu d'Anvers	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barbu d'Uccle!%!Chicken	VBO:0000452	Barbu d'Uccle (Chicken)	Barbu d'Uccle; Chicken	Barbu d'Uccle	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barnevelder!%!Chicken	VBO:0000453	Barnevelder (Chicken)	Barnevelder; Chicken	Barnevelder	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barnevelder Bantam!%!Chicken	VBO:0000454	Barnevelder Bantam (Chicken)	Barnevelder Bantam; Chicken	Barnevelder Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barred Plymouth Rock D11!%!Chicken	VBO:0000455	Barred Plymouth Rock D11 (Chicken)	Barred Plymouth Rock D11; Chicken	Barred Plymouth Rock D11	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barred Rock P11!%!Chicken	VBO:0000456	Barred Rock P11 (Chicken)	Barred Rock P11; Chicken	Barred Rock P11	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barred Rock P55!%!Chicken	VBO:0000457	Barred Rock P55 (Chicken)	Barred Rock P55; Chicken	Barred Rock P55	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Barred Rock WJ44!%!Chicken	VBO:0000458	Barred Rock WJ44 (Chicken)	Barred Rock WJ44; Chicken	Barred Rock WJ44	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belarus 9!%!Chicken	VBO:0000459	Belarus 9 (Chicken)	Belarus 9; Chicken	Belarus 9	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Belgian Game!%!Chicken	VBO:0000460	Belgian Game (Chicken)	Belgian Game; Chicken	Belgian Game	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Black Australorp!%!Chicken	VBO:0000461	Black Australorp (Chicken)	Black Australorp; Chicken	Black Australorp	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Braekel!%!Chicken	VBO:0000462	Braekel (Chicken)	Braekel; Chicken	Braekel	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Brahma!%!Chicken	VBO:0000463	Brahma (Chicken)	Brahma; Chicken	Brahma	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Bresse!%!Chicken	VBO:0000464	Bresse (Chicken)	Bresse; Chicken	Bresse	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
broiler!%!Chicken	VBO:0000465	broiler (Chicken)	broiler; Chicken	broiler	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Campine!%!Chicken	VBO:0000466	Campine (Chicken)	Campine; Chicken	Campine	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Catalana Del Prat!%!Chicken	VBO:0000467	Catalana Del Prat (Chicken)	Catalana Del Prat; Chicken	Catalana Del Prat	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Chantecler!%!Chicken	VBO:0000468	Chantecler (Chicken)	Chantecler; Chicken	Chantecler	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cochin!%!Chicken	VBO:0000469	Cochin (Chicken)	Cochin; Chicken	Cochin	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cochin Bantam!%!Chicken	VBO:0000470	Cochin Bantam (Chicken)	Cochin Bantam; Chicken	Cochin Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Columbian Rock!%!Chicken	VBO:0000471	Columbian Rock (Chicken)	Columbian Rock; Chicken	Columbian Rock	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Arbor Acres AA broiler breeders!%!Chicken	VBO:0000472	Commercial strain- broiler- Arbor Acres AA broiler breeders (Chicken)	Commercial strain- broiler- Arbor Acres AA broiler breeders; Chicken	Commercial strain- broiler- Arbor Acres AA broiler breeders	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Avian!%!Chicken	VBO:0000473	Commercial strain- broiler- Avian (Chicken)	Commercial strain- broiler- Avian; Chicken	Commercial strain- broiler- Avian	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Euribrid Hybro!%!Chicken	VBO:0000474	Commercial strain- broiler- Euribrid Hybro (Chicken)	Commercial strain- broiler- Euribrid Hybro; Chicken	Commercial strain- broiler- Euribrid Hybro	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Euribrid Hybro N!%!Chicken	VBO:0000475	Commercial strain- broiler- Euribrid Hybro N (Chicken)	Commercial strain- broiler- Euribrid Hybro N; Chicken	Commercial strain- broiler- Euribrid Hybro N	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- ISA Vedette!%!Chicken	VBO:0000476	Commercial strain- broiler- ISA Vedette (Chicken)	Commercial strain- broiler- ISA Vedette; Chicken	Commercial strain- broiler- ISA Vedette	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Kabir Chicks Ltd.!%!Chicken	VBO:0000477	Commercial strain- broiler- Kabir Chicks Ltd. (Chicken)	Commercial strain- broiler- Kabir Chicks Ltd.; Chicken	Commercial strain- broiler- Kabir Chicks Ltd.	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Ross!%!Chicken	VBO:0000478	Commercial strain- broiler- Ross (Chicken)	Commercial strain- broiler- Ross; Chicken	Commercial strain- broiler- Ross	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Ross 208!%!Chicken	VBO:0000479	Commercial strain- broiler- Ross 208 (Chicken)	Commercial strain- broiler- Ross 208; Chicken	Commercial strain- broiler- Ross 208	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Ross 308!%!Chicken	VBO:0000480	Commercial strain- broiler- Ross 308 (Chicken)	Commercial strain- broiler- Ross 308; Chicken	Commercial strain- broiler- Ross 308	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Ross Indian River!%!Chicken	VBO:0000481	Commercial strain- broiler- Ross Indian River (Chicken)	Commercial strain- broiler- Ross Indian River; Chicken	Commercial strain- broiler- Ross Indian River	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Shaver Redbro!%!Chicken	VBO:0000482	Commercial strain- broiler- Shaver Redbro (Chicken)	Commercial strain- broiler- Shaver Redbro; Chicken	Commercial strain- broiler- Shaver Redbro	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- broiler- Shaver Starbro!%!Chicken	VBO:0000483	Commercial strain- broiler- Shaver Starbro (Chicken)	Commercial strain- broiler- Shaver Starbro; Chicken	Commercial strain- broiler- Shaver Starbro	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- Derco!%!Chicken	VBO:0000484	Commercial strain- Derco (Chicken)	Commercial strain- Derco; Chicken	Commercial strain- Derco	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- Hubbard!%!Chicken	VBO:0000485	Commercial strain- Hubbard (Chicken)	Commercial strain- Hubbard; Chicken	Commercial strain- Hubbard	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- Jupiter!%!Chicken	VBO:0000486	Commercial strain- Jupiter (Chicken)	Commercial strain- Jupiter; Chicken	Commercial strain- Jupiter	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer SB 98!%!Chicken	VBO:0000487	Commercial strain- layer SB 98 (Chicken)	Commercial strain- layer SB 98; Chicken	Commercial strain- layer SB 98	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Anak!%!Chicken	VBO:0000488	Commercial strain- layer- Anak (Chicken)	Commercial strain- layer- Anak; Chicken	Commercial strain- layer- Anak	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Babcock!%!Chicken	VBO:0000489	Commercial strain- layer- Babcock (Chicken)	Commercial strain- layer- Babcock; Chicken	Commercial strain- layer- Babcock	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Babolna Harco!%!Chicken	VBO:0000490	Commercial strain- layer- Babolna Harco (Chicken)	Commercial strain- layer- Babolna Harco; Chicken	Commercial strain- layer- Babolna Harco	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Babolna Tetra-SL!%!Chicken	VBO:0000491	Commercial strain- layer- Babolna Tetra-SL (Chicken)	Commercial strain- layer- Babolna Tetra-SL; Chicken	Commercial strain- layer- Babolna Tetra-SL	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Cobb 500!%!Chicken	VBO:0000492	Commercial strain- layer- Cobb 500 (Chicken)	Commercial strain- layer- Cobb 500; Chicken	Commercial strain- layer- Cobb 500	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Dekalb!%!Chicken	VBO:0000493	Commercial strain- layer- Dekalb (Chicken)	Commercial strain- layer- Dekalb; Chicken	Commercial strain- layer- Dekalb	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Euribrid Hisex!%!Chicken	VBO:0000494	Commercial strain- layer- Euribrid Hisex (Chicken)	Commercial strain- layer- Euribrid Hisex; Chicken	Commercial strain- layer- Euribrid Hisex	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Euribrid Hisex Brown!%!Chicken	VBO:0000495	Commercial strain- layer- Euribrid Hisex Brown (Chicken)	Commercial strain- layer- Euribrid Hisex Brown; Chicken	Commercial strain- layer- Euribrid Hisex Brown	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Euribrid Hisex White!%!Chicken	VBO:0000496	Commercial strain- layer- Euribrid Hisex White (Chicken)	Commercial strain- layer- Euribrid Hisex White; Chicken	Commercial strain- layer- Euribrid Hisex White	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- H&N Brown Nick!%!Chicken	VBO:0000497	Commercial strain, layer, H&N Brown Nick (Chicken)	Commercial strain, layer, H&N Brown Nick; Chicken	Commercial strain, layer, H&N Brown Nick	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Hendrix Bovan Brown!%!Chicken	VBO:0000498	Commercial strain- layer- Hendrix Bovan Brown (Chicken)	Commercial strain- layer- Hendrix Bovan Brown; Chicken	Commercial strain- layer- Hendrix Bovan Brown	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Hendrix Bovan Goldline!%!Chicken	VBO:0000499	Commercial strain- layer- Hendrix Bovan Goldline (Chicken)	Commercial strain- layer- Hendrix Bovan Goldline; Chicken	Commercial strain- layer- Hendrix Bovan Goldline	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Hubbard Golden Comet!%!Chicken	VBO:0000500	Commercial strain- layer- Hubbard Golden Comet (Chicken)	Commercial strain- layer- Hubbard Golden Comet; Chicken	Commercial strain- layer- Hubbard Golden Comet	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Hy-Line!%!Chicken	VBO:0000501	Commercial strain- layer- Hy-Line (Chicken)	Commercial strain- layer- Hy-Line; Chicken	Commercial strain- layer- Hy-Line	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Hy-Line Brown!%!Chicken	VBO:0000502	Commercial strain- layer- Hy-Line Brown (Chicken)	Commercial strain- layer- Hy-Line Brown; Chicken	Commercial strain- layer- Hy-Line Brown	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Hy-Line White!%!Chicken	VBO:0000503	Commercial strain- layer- Hy-Line White (Chicken)	Commercial strain- layer- Hy-Line White; Chicken	Commercial strain- layer- Hy-Line White	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- ISA Brown!%!Chicken	VBO:0000504	Commercial strain- layer- ISA Brown (Chicken)	Commercial strain- layer- ISA Brown; Chicken	Commercial strain- layer- ISA Brown	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Leghorn!%!Chicken	VBO:0000505	Commercial strain- layer- Leghorn (Chicken)	Commercial strain- layer- Leghorn; Chicken	Commercial strain- layer- Leghorn	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Lohmann!%!Chicken	VBO:0000506	Commercial strain- layer- Lohmann (Chicken)	Commercial strain- layer- Lohmann; Chicken	Commercial strain- layer- Lohmann	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Lohmann Brown!%!Chicken	VBO:0000507	Commercial strain- layer- Lohmann Brown (Chicken)	Commercial strain- layer- Lohmann Brown; Chicken	Commercial strain- layer- Lohmann Brown	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Lohmann White!%!Chicken	VBO:0000508	Commercial strain- layer- Lohmann White (Chicken)	Commercial strain- layer- Lohmann White; Chicken	Commercial strain- layer- Lohmann White	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Shaver!%!Chicken	VBO:0000509	Commercial strain- layer- Shaver (Chicken)	Commercial strain- layer- Shaver; Chicken	Commercial strain- layer- Shaver	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Shaver 579!%!Chicken	VBO:0000510	Commercial strain- layer- Shaver 579 (Chicken)	Commercial strain- layer- Shaver 579; Chicken	Commercial strain- layer- Shaver 579	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Shaver Starcross!%!Chicken	VBO:0000511	Commercial strain- layer- Shaver Starcross (Chicken)	Commercial strain- layer- Shaver Starcross; Chicken	Commercial strain- layer- Shaver Starcross	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- layer- Shaver Starcross 579!%!Chicken	VBO:0000512	Commercial strain- layer- Shaver Starcross 579 (Chicken)	Commercial strain- layer- Shaver Starcross 579; Chicken	Commercial strain- layer- Shaver Starcross 579	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- Peterson!%!Chicken	VBO:0000513	Commercial strain- Peterson (Chicken)	Commercial strain- Peterson; Chicken	Commercial strain- Peterson	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- Rodonit!%!Chicken	VBO:0000514	Commercial strain- Rodonit (Chicken)	Commercial strain- Rodonit; Chicken	Commercial strain- Rodonit	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Commercial strain- Sebright!%!Chicken	VBO:0000515	Commercial strain- Sebright (Chicken)	Commercial strain- Sebright; Chicken	Commercial strain- Sebright	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Cornish!%!Chicken	VBO:0000516	Cornish (Chicken)	Cornish; Chicken	Cornish	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
CrÃ¨vecoeur!%!Chicken	VBO:0000517	Crèvecoeur (Chicken)	Crèvecoeur; Chicken	Crèvecoeur	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Croad Langshan!%!Chicken	VBO:0000518	Croad Langshan (Chicken)	Croad Langshan; Chicken	Croad Langshan	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Derbyshire Redcap!%!Chicken	VBO:0000519	Derbyshire Redcap (Chicken)	Derbyshire Redcap; Chicken	Derbyshire Redcap	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Dokki!%!Chicken	VBO:0000520	Dokki (Chicken)	Dokki; Chicken	Dokki	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Dominique!%!Chicken	VBO:0000521	Dominique (Chicken)	Dominique; Chicken	Dominique	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Dorking!%!Chicken	VBO:0000522	Dorking (Chicken)	Dorking; Chicken	Dorking	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Dresdener!%!Chicken	VBO:0000523	Dresdener (Chicken)	Dresdener; Chicken	Dresdener	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Exotic breeds/layers!%!Chicken	VBO:0000524	Exotic breeds/layers (Chicken)	Exotic breeds/layers; Chicken	Exotic breeds/layers	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Exotic chicken!%!Chicken	VBO:0000525	Exotic chicken (Chicken)	Exotic chicken; Chicken	Exotic chicken	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
exotic layers!%!Chicken	VBO:0000526	exotic layers (Chicken)	exotic layers; Chicken	exotic layers	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Faverolle!%!Chicken	VBO:0000527	Faverolle (Chicken)	Faverolle; Chicken	Faverolle	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Fayoumi!%!Chicken	VBO:0000528	Fayoumi (Chicken)	Fayoumi; Chicken	Fayoumi	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Friesland!%!Chicken	VBO:0000529	Friesland (Chicken)	Friesland; Chicken	Friesland	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Frizzle!%!Chicken	VBO:0000530	Frizzle (Chicken)	Frizzle; Chicken	Frizzle	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Giriraja!%!Chicken	VBO:0000531	Giriraja (Chicken)	Giriraja; Chicken	Giriraja	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Gournay!%!Chicken	VBO:0000532	Gournay (Chicken)	Gournay; Chicken	Gournay	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Green-Legged Partridge!%!Chicken	VBO:0000533	Green-Legged Partridge (Chicken)	Green-Legged Partridge; Chicken	Green-Legged Partridge	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hamburg!%!Chicken	VBO:0000534	Hamburg (Chicken)	Hamburg; Chicken	Hamburg	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hamburger!%!Chicken	VBO:0000535	Hamburger (Chicken)	Hamburger; Chicken	Hamburger	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hampshire!%!Chicken	VBO:0000536	Hampshire (Chicken)	Hampshire; Chicken	Hampshire	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Holland!%!Chicken	VBO:0000537	Holland (Chicken)	Holland; Chicken	Holland	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Houdan!%!Chicken	VBO:0000538	Houdan (Chicken)	Houdan; Chicken	Houdan	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Houdan Bantam!%!Chicken	VBO:0000539	Houdan Bantam (Chicken)	Houdan Bantam; Chicken	Houdan Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Hungarian Yellow!%!Chicken	VBO:0000540	Hungarian Yellow (Chicken)	Hungarian Yellow; Chicken	Hungarian Yellow	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Indian Game!%!Chicken	VBO:0000541	Indian Game (Chicken)	Indian Game; Chicken	Indian Game	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Indigenous!%!Chicken	VBO:0000542	Indigenous (Chicken)	Indigenous; Chicken	Indigenous	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Indigenous chicken!%!Chicken	VBO:0000543	Indigenous chicken (Chicken)	Indigenous chicken; Chicken	Indigenous chicken	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Italian!%!Chicken	VBO:0000544	Italian (Chicken)	Italian; Chicken	Italian	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Japanese Bantam!%!Chicken	VBO:0000545	Japanese Bantam (Chicken)	Japanese Bantam; Chicken	Japanese Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Japanese Game Bantam!%!Chicken	VBO:0000546	Japanese Game Bantam (Chicken)	Japanese Game Bantam; Chicken	Japanese Game Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Jersey Giant!%!Chicken	VBO:0000547	Jersey Giant (Chicken)	Jersey Giant; Chicken	Jersey Giant	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Jungle Fowl!%!Chicken	VBO:0000548	Jungle Fowl (Chicken)	Jungle Fowl; Chicken	Jungle Fowl	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kampong!%!Chicken	VBO:0000549	Kampong (Chicken)	Kampong; Chicken	Kampong	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Korean Native!%!Chicken	VBO:0000550	Korean Native (Chicken)	Korean Native; Chicken	Korean Native	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kraienkoppe!%!Chicken	VBO:0000551	Kraienkoppe (Chicken)	Kraienkoppe; Chicken	Kraienkoppe	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Kraienkoppe Bantam!%!Chicken	VBO:0000552	Kraienkoppe Bantam (Chicken)	Kraienkoppe Bantam; Chicken	Kraienkoppe Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
La FlÃ©che!%!Chicken	VBO:0000553	La Fléche (Chicken)	La Fléche; Chicken	La Fléche	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
La FlÃ©che Bantam!%!Chicken	VBO:0000554	La Fléche Bantam (Chicken)	La Fléche Bantam; Chicken	La Fléche Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
La poule de Herve!%!Chicken	VBO:0000555	La poule de Herve (Chicken)	La poule de Herve; Chicken	La poule de Herve	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lakenvelder!%!Chicken	VBO:0000556	Lakenvelder (Chicken)	Lakenvelder; Chicken	Lakenvelder	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
Lakenvelder Bantam!%!Chicken	VBO:0000557	Lakenvelder Bantam (Chicken)	Lakenvelder Bantam; Chicken	Lakenvelder Bantam	Chicken	NCBITaxon:9031	https://www.fao.org/dad-is	http://purl.obolibrary.org/obo/vbo#transboundary
