VBO id	Breed name	Country	updated name	breed label (breed name +country + parent)	Transboundary name =parents	Species =parents	parent labels	parent ID	source for parents	Other name(s) =synonym	exists_in_country, ISO3 Country code	wikidata link for the country exists_in_country	domestication status	description of origin
VBO:0001796	Asno	Chile	Asno, Chile; Ass	Asno-Chile [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHL	wikidata:Q298	domestic	Locally adopted exotic.
VBO:0001797	Biyang	China	Biyang, China; Ass	Biyang-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001798	China North	China	China North, China; Ass	China North-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001799	Dezhou	China	Dezhou, China; Ass	Dezhou-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001800	Guangling	China	Guangling, China; Ass	Guangling-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001801	Guanzhong	China	Guanzhong, China; Ass	Guanzhong-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	Guanchzhun|Kwanchung|Kuan-chung	CHN	wikidata:Q148	domestic	
VBO:0001802	Huaibei	China	Huaibei, China; Ass	Huaibei-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001803	Jiami	China	Jiami, China; Ass	Jiami-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	Swallow-Coat|Four-Eyebrows	CHN	wikidata:Q148	domestic	
VBO:0001804	Jinnan	China	Jinnan, China; Ass	Jinnan-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is	South Shanxi	CHN	wikidata:Q148	domestic	
VBO:0001805	Kulun	China	Kulun, China; Ass	Kulun-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001806	Liangzhou	China	Liangzhou, China; Ass	Liangzhou-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001807	Linxian	China	Linxian, China; Ass	Linxian-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001808	Qinghai	China	Qinghai, China; Ass	Qinghai-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
VBO:0001809	Qingyang	China	Qingyang, China; Ass	Qingyang-China [Ass]		Ass	Ass	NCBITaxon:9793	https://www.fao.org/dad-is		CHN	wikidata:Q148	domestic	
