vbo id	Sabrina's note: VBO names	OMIA breed_id	xref	OMIA breed_name	source	NCBITaxon_species_id	Xlookup NCBITaxon species name	DADIS Breed	DADIS Country	Other names, to be added	Notes (could be "A rdfs:comment" but unsure whether there is already a comment, so not adding at this point)
VBO:0004447	Balgarsko rodopsko govedo-Bulgaria	593	OMIA:593	Sofia Brown	https://omia.org	9913	cattle	Balgarsko rodopsko govedo	Bulgaria		
VBO:0012741	Bama Xiang Zhu-China	1008	OMIA:1008	Bama miniature	https://omia.org	9823	pig	Bama Xiang Zhu	China		
VBO:0004855	Banteng (indon )-Indonesia	151	OMIA:151	Banteng (Bali)	https://omia.org	9913	cattle	Banteng (indon )	Indonesia		
VBO:0004834	Barroso-Guatemala	291	OMIA:291	Barrosa	https://omia.org	9913	cattle	Barroso	Guatemala		
VBO:0006660	Beijing You-China	971	OMIA:971	Beijing Fatty	https://omia.org	9031	chicken	Beijing You	China		
VBO:0006660	Beijing You-China	1063	OMIA:1063	Beijing You	https://omia.org	9031	chicken	Beijing You	China		
VBO:0004423	Belgisch roodbont-Belgium	702	OMIA:702	Red Pied Flemish	https://omia.org	9913	cattle	Belgisch roodbont	Belgium		
VBO:0010413	Berber-Germany	1164	OMIA:1164	Berber	https://omia.org	9796	horse	Berber	Germany		
VBO:0004704	Berrenda en Negro-Spain	1114	OMIA:1114	Spanish Berrenda en negro	https://omia.org	9913	cattle	Berrenda en Negro	Spain		
VBO:0014105	Beveren-United States of America	604	OMIA:604	Beveren	https://omia.org	9986	rabbit	Beveren	United States of America		
VBO:0007792	BohuslÃ¤n - Dals svarthÃ¶na [Bohuslän - Dals svarthöna]-Sweden	864	OMIA:864	Svarthöna (ohuslän-Dals Svarthöna)	https://omia.org	9031	chicken	BohuslÃ¤n - Dals svarthÃ¶na [Bohuslän - Dals svarthöna]	Sweden		
VBO:0016308	Borderdale-New Zealand	891	OMIA:891	Borderdale	https://omia.org	9940	sheep	Borderdale	New Zealand		
VBO:0015476	Bororo-Chad	225	OMIA:225	Bororo	https://omia.org	9940	sheep	Bororo	Chad		
VBO:0010460	Breton-France	796	OMIA:796	Trait Breton	https://omia.org	9796	horse	Breton	France		
VBO:0011461	British Spotted Pony, Spotted Pony-United Kingdom of Great Britain and Northern Ireland	1047	OMIA:1047	British Spotted Pony	https://omia.org	9796	horse	British Spotted Pony, Spotted Pony	United Kingdom of Great Britain and Northern Ireland		
VBO:0005241	Butana-Sudan	677	OMIA:677	Butana	https://omia.org	9913	cattle	Butana	Sudan		
VBO:0012718	CanastrÃ£o [Canastrão]-Brazil	5	OMIA:5	Canastrao	https://omia.org	9823	pig	CanastrÃ£o [Canastrão]	Brazil		
VBO:0004467	Canchim-Brazil	508	OMIA:508	Canchim	https://omia.org	9913	cattle	Canchim	Brazil		
VBO:0004468	Caracu-Brazil	536	OMIA:536	Caracu	https://omia.org	9913	cattle	Caracu	Brazil		
VBO:0005370	Carora-Venezuela (Bolivarian Republic of)	919	OMIA:919	Carora	https://omia.org	9913	cattle	Carora	Venezuela (Bolivarian Republic of)		
VBO:0012556	Casco de Mula-Colombia	473	OMIA:473	Casco de Mula	https://omia.org	9823	pig	Casco de Mula	Colombia		
VBO:0011409	Cavall MenorquÃ­ [Cavall Menorquí]-Spain	968	OMIA:968	Menorca	https://omia.org	9796	horse	Cavall MenorquÃ­ [Cavall Menorquí]	Spain		
VBO:0011580	Cavallo Agricolo Italiano da Tiro Pesante Rapido-Italy	942	OMIA:942	Italian draft horse	https://omia.org	9796	horse	Cavallo Agricolo Italiano da Tiro Pesante Rapido	Italy		https://bmcvetres.biomedcentral.com/articles/10.1186/s12917-015-0374-0
VBO:0002807	Ceska Cervinka-Czechia	609	OMIA:609	Red Bohemian	https://omia.org	9913	cattle	Ceska Cervinka	Czechia		
VBO:0004127	Cesky strakaty skot-Czechia	556	OMIA:556	Red Pied	https://omia.org	9913	cattle	Cesky strakaty skot	Czechia		
VBO:0011249	CH-Warmblut-Switzerland	1016	OMIA:1016	Swiss Warmblood	https://omia.org	9796	horse	CH-Warmblut	Switzerland		
VBO:0009586	Changthangi-India	273	OMIA:273	Pashmina	https://omia.org	9925	goat	Changthangi	India		
VBO:0016028	Chokla-India	623	OMIA:623	Chokla	https://omia.org	9940	sheep	Chokla	India		
VBO:0005270	Cikasto govedo-Slovenia	1112	OMIA:1112	Slovenian Cika	https://omia.org	9913	cattle	Cikasto govedo	Slovenia		
VBO:0013055	Cinta Senese-Italy	1120	OMIA:1120	Cinta Senese	https://omia.org	9823	pig	Cinta Senese	Italy		
VBO:0011828	Colorado Ranger-United States of America	655	OMIA:655	Colorado Ranger	https://omia.org	9796	horse	Colorado Ranger	United States of America		
