vbo_id	term_label	LBO ID	source_for_xref1	LBO name	LBO ID	LBO synonyms	LBO ID	description_of_origin	source_for_description_of_origin
ID		A oboInOwl:hasDbXref	>A oboInOwl:source SPLIT=|	A oboInOwl:hasExactSynonym	>A oboInOwl:source	A oboInOwl:hasExactSynonym SPLIT=|	>A oboInOwl:source SPLIT=|	A http://purl.obolibrary.org/obo/vbo#origindescription	>A oboInOwl:source
VBO:0000071	Egyptian (Buffalo)	LBO:0001050	https://orcid.org/0000-0002-5002-8648	Egyptian	LBO:0001050				
VBO:0000073	Jafarabadi (Buffalo)	LBO:0001045	https://orcid.org/0000-0002-5002-8648	Jafarabadi	LBO:0001045				
VBO:0000074	Mediterranean (Buffalo)	LBO:0001043	https://orcid.org/0000-0002-5002-8648	Mediterranean	LBO:0001043				
VBO:0000076	Murrah (Buffalo)	LBO:0001049	https://orcid.org/0000-0002-5002-8648	Murrah	LBO:0001049				
VBO:0000078	Nili-Ravi (Buffalo)	LBO:0001053	https://orcid.org/0000-0002-5002-8648	Nili-Ravi	LBO:0001053				
VBO:0000094	Africander (Cattle)	LBO:0000005	https://orcid.org/0000-0002-5002-8648	Africander cattle	LBO:0000005				
VBO:0000100	Anatolian Grey (Cattle)	LBO:0000258	https://orcid.org/0000-0002-5002-8648	Turkish Grey Steppe	LBO:0000258				
VBO:0000101	Andalusian Grey (Cattle)	LBO:0000015	https://orcid.org/0000-0002-5002-8648	Andalusian Grey	LBO:0000015				
VBO:0000102	Angeln (Cattle)	LBO:0000016	https://orcid.org/0000-0002-5002-8648	Angeln	LBO:0000016				
VBO:0000104	Angus (Cattle)	LBO:0000017	https://orcid.org/0000-0002-5002-8648	Angus	LBO:0000017				
VBO:0000105	Ankole (Cattle)	LBO:0000018	https://orcid.org/0000-0002-5002-8648	Ankole	LBO:0000018				
VBO:0000108	Argentine Criollo (Cattle)	LBO:0000020	https://orcid.org/0000-0002-5002-8648	Argentine Criollo	LBO:0000020				
VBO:0000111	Asturian Valley (Cattle)	LBO:0000022	https://orcid.org/0000-0002-5002-8648	Asturian Valley	LBO:0000022				
VBO:0000112	Aubrac (Cattle)	LBO:0000023	https://orcid.org/0000-0002-5002-8648	Aubrac	LBO:0000023				
VBO:0000113	Aulie-Ata (Cattle)	LBO:0000024	https://orcid.org/0000-0002-5002-8648	Aulie-Ata	LBO:0000024				
VBO:0000115	Australian Friesian Sahiwal (Cattle)	LBO:0000026	https://orcid.org/0000-0002-5002-8648	Australian Friesian Sahiwal	LBO:0000026				
VBO:0000117	Australian Lowline (Cattle)	LBO:0000027	https://orcid.org/0000-0002-5002-8648	Australian Lowline	LBO:0000027				
VBO:0000118	Australian Milking Zebu (Cattle)	LBO:0000028	https://orcid.org/0000-0002-5002-8648	Australian Milking Zebu	LBO:0000028				
